,num_docks_available,num_bikes_available,legacy_id,is_returning,station_id,is_installed,is_renting,num_ebikes_available,eightd_has_available_keys,num_docks_disabled,last_reported,num_bikes_disabled,last_update,num_scooters_unavailable,num_scooters_available
36,0,34,1814548067447122618,1,1814548067447122618,1,1,5,False,0,1691630393,1,2023-08-10 01:15:11.129474,0.0,0.0
37,2,17,4550,1,765ee572-6c7a-4ed3-a2d4-f1496ea53996,1,1,0,False,0,1691630404,4,2023-08-10 01:15:11.129474,0.0,0.0
38,10,10,4807,1,a45a712c-1e3d-4fee-bef8-adafafd80670,1,1,1,False,0,1691630404,0,2023-08-10 01:15:11.129474,0.0,0.0
39,1,39,307,1,66db6f2e-0aca-11e7-82f6-3863bb44ef7c,1,1,0,False,0,1691630404,5,2023-08-10 01:15:11.129474,0.0,0.0
40,68,1,4675,1,c638ec67-9ac0-416f-944f-619926144931,1,1,0,False,2,1691630398,15,2023-08-10 01:15:11.129474,0.0,0.0
41,4,22,4684,1,81bec993-29a5-4e70-8f60-eecdf16c7be4,1,1,0,False,0,1691630399,4,2023-08-10 01:15:11.129474,0.0,0.0
42,11,1,4012,1,3134c2d4-b090-4eb8-ab44-6f9622098f72,1,1,0,False,3,1691630401,6,2023-08-10 01:15:11.129474,0.0,0.0
43,1,29,4281,1,549b5bc4-b949-4eeb-8ffb-2215e1e49892,1,1,2,False,0,1691630402,1,2023-08-10 01:15:11.129474,0.0,0.0
44,1,22,3779,1,c4e9905f-457b-4be0-a878-2aa53fa0b09b,1,1,0,False,1,1691630402,0,2023-08-10 01:15:11.129474,0.0,0.0
45,7,19,3554,1,0687075b-cf2d-4130-a859-fe841aafbd3f,1,1,1,False,0,1691630402,1,2023-08-10 01:15:11.129474,0.0,0.0
46,12,2,4635,1,1f8f6714-42a7-45d5-86cd-a093c940b2c9,1,1,2,False,0,1691630402,11,2023-08-10 01:15:11.129474,0.0,0.0
47,3,21,4346,1,5526b855-dc09-4159-a20a-99651861a481,1,1,1,False,0,1691630403,1,2023-08-10 01:15:11.129474,0.0,0.0
48,62,11,397,1,66dbee85-0aca-11e7-82f6-3863bb44ef7c,1,1,0,False,0,1691630403,2,2023-08-10 01:15:11.129474,0.0,0.0
49,10,8,1815968237323833702,1,1815968237323833702,1,1,1,False,1,1691630403,2,2023-08-10 01:15:11.129474,0.0,0.0
50,7,13,4302,1,5a24acbb-94ef-4cb5-9db8-f6073ac26a2b,1,1,0,False,1,1691630402,0,2023-08-10 01:15:11.129474,0.0,0.0
51,4,11,3586,1,ec42fb3a-af54-46aa-a8b3-b17d72ed4475,1,1,0,False,0,1691630399,3,2023-08-10 01:15:11.129474,0.0,0.0
52,3,14,4461,1,53ef19c6-eaa7-47f7-807e-f51b574b1be0,1,1,2,False,0,1691630406,3,2023-08-10 01:15:11.129474,0.0,0.0
53,14,5,3888,1,55a4dc76-d839-4e06-9bf4-2f343391343c,1,1,2,False,0,1691630405,0,2023-08-10 01:15:11.129474,0.0,0.0
54,22,0,3574,1,69f84045-48f9-4c6c-90d3-0503e5ed39e9,1,1,0,False,0,1691630405,1,2023-08-10 01:15:11.129474,0.0,0.0
55,20,1,3299,1,66dde76a-0aca-11e7-82f6-3863bb44ef7c,1,1,0,False,0,1691630409,3,2023-08-10 01:15:11.129474,0.0,0.0
56,10,23,4665,1,162d5859-b735-4ff7-9613-01b21f22c1cd,1,1,0,False,0,1691630409,1,2023-08-10 01:15:11.129474,0.0,0.0
57,19,7,1786700154621508184,1,1786700154621508184,1,1,2,False,2,1691630409,0,2023-08-10 01:15:11.129474,0.0,0.0
58,0,19,4826,1,ba33c334-e17d-4478-ae3c-9c2f4dbfbb51,1,1,4,False,0,1691630409,0,2023-08-10 01:15:11.129474,0.0,0.0
59,7,18,4821,1,f5393bc2-36d4-4508-bf51-fa48d121f751,1,1,0,False,0,1691630409,1,2023-08-10 01:15:11.129474,0.0,0.0
60,15,52,4699,1,645e4365-653f-48ce-bc15-5fcc287be56f,1,1,8,False,0,1691630409,2,2023-08-10 01:15:11.129474,0.0,0.0
61,17,3,4487,1,b4974d89-932c-4a9f-a264-2ea0cf70613e,1,1,3,False,0,1691630407,0,2023-08-10 01:15:11.129474,0.0,0.0
62,16,3,4157,1,6fab98b7-b06a-49d8-a4d1-087ffce0ebcf,1,1,3,False,0,1691630411,0,2023-08-10 01:15:11.129474,0.0,0.0
63,16,4,4931,1,e9575102-1081-4c30-8d15-ea95913579e2,1,1,1,False,0,1691630408,0,2023-08-10 01:15:11.129474,0.0,0.0
64,4,28,3127,1,66dd26f9-0aca-11e7-82f6-3863bb44ef7c,1,1,5,False,0,1691630408,0,2023-08-10 01:15:11.129474,0.0,0.0
65,17,13,3307,1,66ddeaff-0aca-11e7-82f6-3863bb44ef7c,1,1,4,False,0,1691630406,1,2023-08-10 01:15:11.129474,0.0,0.0
66,12,11,343,1,66dba303-0aca-11e7-82f6-3863bb44ef7c,1,1,0,False,0,1691630410,0,2023-08-10 01:15:11.129474,0.0,0.0
67,13,4,4829,1,42c3bb6e-0478-4e4a-af10-151f5f4dffb9,1,1,3,False,0,1691630411,0,2023-08-10 01:15:11.129474,0.0,0.0
68,14,3,4367,1,7aa86431-bbc5-4d9c-8198-9630c9d32a22,1,1,1,False,0,1691630416,3,2023-08-10 01:15:11.129474,0.0,0.0
69,0,20,1814907423052790164,1,1814907423052790164,1,1,4,False,1,1691630417,5,2023-08-10 01:15:11.129474,0.0,0.0
70,5,12,4786,1,6fb81fda-f0b5-4242-90f9-88d0214feb8d,1,1,1,False,0,1691630417,2,2023-08-10 01:15:11.129474,0.0,0.0
71,1,20,3887,1,d89dc10f-9be3-45a5-9c3c-06c04c963436,1,1,2,False,0,1691630414,0,2023-08-10 01:15:11.129474,0.0,0.0
72,0,17,4852,1,2ebbe93b-a013-464a-b4a5-0eba96f89676,1,1,2,False,0,1691630414,1,2023-08-10 01:15:11.129474,0.0,0.0
73,15,4,3361,1,66de1ea2-0aca-11e7-82f6-3863bb44ef7c,1,1,0,False,1,1691630412,3,2023-08-10 01:15:11.129474,0.0,0.0
74,21,0,5031,1,eb07bdfc-3a6f-40eb-96d2-0b92ac371619,1,1,0,False,0,1691630412,0,2023-08-10 01:15:11.129474,,
