,station_status,num_bikes_available,num_ebikes_available,eightd_has_available_keys,legacy_id,num_bikes_disabled,num_docks_available,is_installed,station_id,num_docks_disabled,is_renting,is_returning,last_reported,last_update
883,active,0,0,False,3903,0,17,1,3903,0,1,1,1670632417,2022-12-10 01:15:00.728023
884,active,4,3,False,3904,0,31,1,3904,1,1,1,1670634942,2022-12-10 01:15:00.728023
885,active,19,4,False,3905,3,16,1,3905,0,1,1,1670634874,2022-12-10 01:15:00.728023
886,active,20,0,False,3906,3,6,1,3906,0,1,1,1670634939,2022-12-10 01:15:00.728023
887,active,3,1,False,3907,0,14,1,3907,0,1,1,1670634896,2022-12-10 01:15:00.728023
888,active,0,0,False,3909,0,19,1,3909,0,1,1,1670632804,2022-12-10 01:15:00.728023
889,active,8,6,False,3910,1,6,1,3910,0,1,1,1670633158,2022-12-10 01:15:00.728023
890,active,20,3,False,3911,2,0,1,3911,0,1,1,1670633856,2022-12-10 01:15:00.728023
891,active,11,2,False,3913,1,7,1,3913,0,1,1,1670634506,2022-12-10 01:15:00.728023
892,active,12,4,False,3914,2,24,1,3914,0,1,1,1670634801,2022-12-10 01:15:00.728023
893,active,20,0,False,3917,2,8,1,3917,0,1,1,1670632532,2022-12-10 01:15:00.728023
894,active,3,1,False,3920,1,14,1,3920,0,1,1,1670634306,2022-12-10 01:15:00.728023
895,active,15,3,False,3921,0,4,1,3921,0,1,1,1670626794,2022-12-10 01:15:00.728023
896,active,5,1,False,3922,0,11,1,3922,0,1,1,1670634819,2022-12-10 01:15:00.728023
897,active,9,1,False,3923,0,8,1,3923,0,1,1,1670633268,2022-12-10 01:15:00.728023
898,active,15,7,False,3924,1,9,1,3924,0,1,1,1670633491,2022-12-10 01:15:00.728023
899,active,20,7,False,3926,0,0,1,3926,0,0,0,1670622244,2022-12-10 01:15:00.728023
900,active,5,0,False,3927,3,19,1,3927,0,1,1,1670631931,2022-12-10 01:15:00.728023
901,active,7,2,False,3928,2,13,1,3928,0,1,1,1670634117,2022-12-10 01:15:00.728023
902,active,13,6,False,3929,0,6,1,3929,0,1,1,1670629787,2022-12-10 01:15:00.728023
903,active,17,2,False,3930,1,1,1,3930,0,1,1,1670634139,2022-12-10 01:15:00.728023
904,active,20,2,False,3931,1,2,1,3931,0,1,1,1670633866,2022-12-10 01:15:00.728023
905,active,0,0,False,3932,1,22,1,3932,0,1,1,1670634780,2022-12-10 01:15:00.728023
906,active,7,0,False,3933,0,12,1,3933,0,1,1,1670625664,2022-12-10 01:15:00.728023
907,active,2,2,False,3934,0,23,1,3934,0,1,1,1670634121,2022-12-10 01:15:00.728023
908,active,5,1,False,3935,1,13,1,3935,0,1,1,1670631280,2022-12-10 01:15:00.728023
909,active,4,0,False,3936,0,14,1,3936,0,1,1,1670626374,2022-12-10 01:15:00.728023
910,active,21,3,False,3937,0,2,1,3937,0,1,1,1670633599,2022-12-10 01:15:00.728023
911,active,11,9,False,3938,0,7,1,3938,0,1,1,1670633950,2022-12-10 01:15:00.728023
912,active,19,4,False,3939,0,1,1,3939,0,1,1,1670626066,2022-12-10 01:15:00.728023
913,active,16,3,False,3940,0,0,1,3940,0,1,1,1670618239,2022-12-10 01:15:00.728023
914,active,9,6,False,3941,0,8,1,3941,0,1,1,1670627579,2022-12-10 01:15:00.728023
915,active,14,10,False,3942,1,6,1,3942,0,1,1,1670634674,2022-12-10 01:15:00.728023
916,active,0,0,False,3944,0,30,1,3944,0,1,1,1670629999,2022-12-10 01:15:00.728023
917,active,0,0,False,3945,0,21,1,3945,0,1,1,1670634551,2022-12-10 01:15:00.728023
918,active,9,1,False,3946,1,10,1,3946,0,1,1,1670631005,2022-12-10 01:15:00.728023
919,active,16,0,False,3947,0,2,1,3947,0,1,1,1670615449,2022-12-10 01:15:00.728023
920,active,13,0,False,3948,0,10,1,3948,0,1,1,1670633305,2022-12-10 01:15:00.728023
921,active,21,0,False,3949,1,1,1,3949,0,1,1,1670634840,2022-12-10 01:15:00.728023
922,active,16,6,False,3950,0,3,1,3950,0,1,1,1670634683,2022-12-10 01:15:00.728023
923,active,14,3,False,3951,0,5,1,3951,0,1,1,1670633316,2022-12-10 01:15:00.728023
924,active,12,2,False,3952,0,7,1,3952,0,1,1,1670633786,2022-12-10 01:15:00.728023
925,active,2,0,False,3953,0,23,1,3953,0,1,1,1670627740,2022-12-10 01:15:00.728023
926,active,13,0,False,3955,0,6,1,3955,0,1,1,1670624493,2022-12-10 01:15:00.728023
