,num_docks_disabled,is_returning,is_renting,last_reported,num_docks_available,num_bikes_disabled,station_id,is_installed,station_status,eightd_has_available_keys,num_ebikes_available,num_bikes_available,legacy_id,last_update,eightd_active_station_services,valet
554,1,1671502964,3443,active,1,42,16,False,0,3443,1,2,1,2022-12-20 02:15:58.023140,,
555,1,1671499579,3452,active,1,5,38,False,0,3452,1,1,0,2022-12-20 02:15:58.023140,,
556,1,1671501477,3453,active,1,14,5,False,0,3453,1,4,0,2022-12-20 02:15:58.023140,,
557,1,1671500448,3454,active,1,7,12,False,0,3454,1,5,4,2022-12-20 02:15:58.023140,,
558,1,1671496315,3456,active,1,6,15,False,0,3456,1,0,1,2022-12-20 02:15:58.023140,,
559,1,1671503119,3457,active,1,55,9,False,0,3457,1,3,1,2022-12-20 02:15:58.023140,,
560,1,1671503094,3459,active,1,13,25,False,0,3459,1,0,2,2022-12-20 02:15:58.023140,,
561,1,1671503083,3461,active,1,8,24,False,0,3461,1,2,0,2022-12-20 02:15:58.023140,,
562,1,1671501981,3462,active,1,34,4,False,0,3462,1,3,1,2022-12-20 02:15:58.023140,,
563,1,1671501956,3463,active,1,15,63,False,0,3463,1,1,1,2022-12-20 02:15:58.023140,,
564,1,1671502619,3464,active,1,14,39,False,0,3464,1,4,2,2022-12-20 02:15:58.023140,,
565,1,1671501061,3467,active,1,13,31,False,0,3467,1,2,1,2022-12-20 02:15:58.023140,,
566,1,1671497109,3472,active,1,5,31,False,0,3472,1,1,2,2022-12-20 02:15:58.023140,,
567,1,1671499410,3478,active,1,6,36,False,0,3478,1,2,1,2022-12-20 02:15:58.023140,,
568,1,1671486784,3479,active,1,7,32,False,0,3479,1,0,5,2022-12-20 02:15:58.023140,,
569,1,1671500679,3483,active,1,6,8,False,0,3483,1,0,0,2022-12-20 02:15:58.023140,,
570,1,1671503253,3490,active,1,23,8,False,0,3490,1,3,0,2022-12-20 02:15:58.023140,,
571,1,1671502586,3491,active,1,15,8,False,0,3491,1,1,1,2022-12-20 02:15:58.023140,,
