,num_bikes_disabled,num_docks_disabled,legacy_id,is_renting,eightd_has_available_keys,last_reported,num_bikes_available,num_docks_available,is_installed,is_returning,num_ebikes_available,station_id,last_update,num_scooters_unavailable,num_scooters_available
3747,4,0,242,1,False,1692839292,18,24,1,1,0,66db3e32-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3748,4,0,438,1,False,1692839299,64,0,1,1,2,66dc1702-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3749,5,1,3300,1,False,1692839299,9,9,1,1,7,66dde7dc-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3750,1,0,4448,1,False,1692839299,17,1,1,1,1,28a2436d-a52b-4fa4-874c-e096012a926d,2023-08-24 01:00:31.430765,0.0,0.0
3751,1,1,3568,1,False,1692839299,5,14,1,1,0,f6143531-4a16-4aac-9b55-573ef7ef162e,2023-08-24 01:00:31.430765,0.0,0.0
3752,1,0,4594,1,False,1692839299,40,6,1,1,0,1ecc9936-ee0c-44b2-baa8-237564c8e4fd,2023-08-24 01:00:31.430765,0.0,0.0
3753,2,0,4935,1,False,1692839300,2,15,1,1,1,d5d2aebc-158c-43ec-9105-2a779d0245d8,2023-08-24 01:00:31.430765,0.0,0.0
3754,4,0,394,1,False,1692839300,37,9,1,1,8,66dbecd0-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3755,1,0,3858,1,False,1692839300,12,7,1,1,0,c3b255d8-b690-4825-b1e9-a1d1680e5542,2023-08-24 01:00:31.430765,0.0,0.0
3756,8,0,4216,1,False,1692839298,12,36,1,1,0,116dbc02-a3c1-4b65-9f73-2a09a2aa1379,2023-08-24 01:00:31.430765,0.0,0.0
3757,1,0,4244,1,False,1692839298,1,37,1,1,1,d7c56fef-1bf9-4315-85af-8638c534b402,2023-08-24 01:00:31.430765,0.0,0.0
3758,2,1,4095,1,False,1692839298,11,7,1,1,3,186092d1-a431-45db-8198-d5ba13334d79,2023-08-24 01:00:31.430765,0.0,0.0
3759,4,0,516,1,False,1692839292,19,46,1,1,0,66dc7e75-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3760,1,0,3612,1,False,1692839293,13,1,1,1,3,914e3e7c-87da-4f52-aa03-5449c6361fa2,2023-08-24 01:00:31.430765,0.0,0.0
3761,0,0,4460,1,False,1692839293,19,0,1,1,7,89ff4db3-8a29-4565-a366-6fea4b3afc39,2023-08-24 01:00:31.430765,0.0,0.0
3762,11,1,462,1,False,1692839293,51,14,1,1,1,66dc2606-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3763,2,0,4770,1,False,1692839293,5,12,1,1,0,067b53bd-33bf-4698-8103-3931a5f32a37,2023-08-24 01:00:31.430765,0.0,0.0
3764,0,0,3839,1,False,1692839293,3,25,1,1,1,18b19467-28ac-4496-b3e4-f6028b1c5105,2023-08-24 01:00:31.430765,0.0,0.0
3765,8,0,312,1,False,1692839296,39,4,1,1,1,66db72f1-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3766,2,0,4050,1,False,1692839296,6,12,1,1,1,c6c10756-ef41-491a-8e6c-ee0aa27b8cbe,2023-08-24 01:00:31.430765,0.0,0.0
3767,0,0,4764,1,False,1692839296,3,19,1,1,0,bcd3ee0f-21d7-4cc8-ac45-ccea48b6fc1b,2023-08-24 01:00:31.430765,0.0,0.0
3768,1,0,5020,1,False,1692839296,3,16,1,1,0,c7dbc7b5-240b-494d-8663-dbee4103a20c,2023-08-24 01:00:31.430765,0.0,0.0
3769,5,0,83,1,False,1692839296,16,38,1,1,2,66db281e-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3770,2,0,1834145204469569922,1,False,1692839297,13,10,1,1,1,1834145204469569922,2023-08-24 01:00:31.430765,0.0,0.0
3771,4,1,3906,1,False,1692839297,14,27,1,1,0,3b530cff-dd26-4cfd-b570-a85fd53354fe,2023-08-24 01:00:31.430765,0.0,0.0
3772,3,0,3817,1,False,1692839294,12,2,1,1,6,3c5a8531-4eec-4695-b4f8-8a1158890e78,2023-08-24 01:00:31.430765,0.0,0.0
3773,3,0,4960,1,False,1692839294,22,5,1,1,6,5d101095-011e-4541-ae64-bed8b52807b3,2023-08-24 01:00:31.430765,0.0,0.0
3774,1,1,356,1,False,1692839294,12,19,1,1,2,66dbc7d2-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3775,7,0,439,1,False,1692839294,51,18,1,1,3,66dc176f-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3776,6,1,423,1,False,1692839295,17,20,1,1,2,66dc0e24-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3777,2,2,3570,1,False,1692839302,4,24,1,1,1,60c5a043-1367-4a27-96ee-394ba60e2154,2023-08-24 01:00:31.430765,0.0,0.0
3778,0,0,4969,1,False,1692839303,2,19,1,1,0,3893eeef-06a8-47b1-95f2-a85454f7d5c9,2023-08-24 01:00:31.430765,0.0,0.0
3779,1,0,4403,1,False,1692839303,9,24,1,1,4,178bad16-1b02-4264-94c0-a8fd0faa60fe,2023-08-24 01:00:31.430765,0.0,0.0
3780,4,0,3231,1,False,1692839305,3,29,1,1,1,66dd9b0f-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3781,6,0,3495,1,False,1692839305,21,0,1,1,5,566935d6-4d66-4b42-9822-f2a816e357b9,2023-08-24 01:00:31.430765,0.0,0.0
3782,1,0,3929,1,False,1692839305,15,2,1,1,3,5fdf435f-6080-4b1d-966c-3b9d08450c4d,2023-08-24 01:00:31.430765,0.0,0.0
3783,1,2,275,1,False,1692839300,5,10,1,1,3,66db5d92-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3784,7,0,480,1,False,1692839300,20,2,1,1,6,66dc4334-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3785,3,0,4660,1,False,1692839300,21,13,1,1,0,8ec47777-852d-4059-a5ea-12eef71a9606,2023-08-24 01:00:31.430765,0.0,0.0
3786,2,0,4261,1,False,1692839300,16,7,1,1,3,76c1ef9c-3984-4b4e-bff4-5c398e2395bd,2023-08-24 01:00:31.430765,0.0,0.0
3787,2,0,4501,1,False,1692839301,5,22,1,1,2,f365afa3-e8a5-439d-975d-6c2b064f30df,2023-08-24 01:00:31.430765,0.0,0.0
3788,5,0,4426,1,False,1692839301,35,18,1,1,2,a82599ce-99ca-4670-8053-baada198034a,2023-08-24 01:00:31.430765,0.0,0.0
3789,2,0,4445,1,False,1692839307,17,0,1,1,9,99b7c9a5-9679-417f-b884-21c4b240aa99,2023-08-24 01:00:31.430765,0.0,0.0
3790,1,1,3041,1,False,1692839307,2,20,1,1,2,66dcb9f7-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3791,5,0,4282,1,False,1692839307,29,16,1,1,0,4e862dc1-0652-4f29-a26f-315d763df67d,2023-08-24 01:00:31.430765,0.0,0.0
3792,2,0,4174,1,False,1692839301,10,9,1,1,2,8d8a381c-21df-4095-837e-65924d85a06d,2023-08-24 01:00:31.430765,0.0,0.0
3793,7,1,3134,1,False,1692839301,0,41,1,1,0,66dd3f33-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3794,2,0,2017,1,False,1692839302,11,37,1,1,1,66dca5f3-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3795,0,1,3736,1,False,1692839302,28,12,1,1,8,3ac7b47b-2253-4a0b-bf7d-8a2eb6b78a38,2023-08-24 01:00:31.430765,0.0,0.0
3796,5,0,3583,1,False,1692839304,0,27,1,1,0,e63c8dac-ab44-48c8-83a0-92c53a00f12e,2023-08-24 01:00:31.430765,0.0,0.0
3797,0,0,1828968327357059242,1,False,1692839303,6,16,1,1,2,1828968327357059242,2023-08-24 01:00:31.430765,0.0,0.0
3798,0,0,4939,1,False,1692839303,0,22,1,1,0,398ebef6-dcc2-4305-b1d2-47efafdaa85c,2023-08-24 01:00:31.430765,,
3799,2,1,3534,1,False,1692839303,29,1,1,1,16,0f6fd186-656a-41b3-ba4a-456d22da177c,2023-08-24 01:00:31.430765,0.0,0.0
3800,8,0,3082,1,False,1692839304,16,1,1,1,1,66dcf30d-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3801,3,1,3545,1,False,1692839304,11,18,1,1,5,32d3adc3-c3dd-4a97-a4db-95d467f3c3aa,2023-08-24 01:00:31.430765,0.0,0.0
3802,6,0,3553,1,False,1692839305,27,0,1,1,0,46bdd925-fb6c-4654-85d8-e0db4da62abf,2023-08-24 01:00:31.430765,0.0,0.0
3803,4,1,4041,1,False,1692839305,11,2,1,1,0,1b962833-d769-418e-b1ef-5a183bb5eb1a,2023-08-24 01:00:31.430765,0.0,0.0
3804,0,0,3042,1,False,1692839305,1,18,1,1,0,66dcba5e-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3805,1,0,3981,1,False,1692839321,4,19,1,1,0,676b7b4d-b1c0-4c97-8ac3-5fe665e51108,2023-08-24 01:00:31.430765,0.0,0.0
3806,5,0,416,1,False,1692839321,14,10,1,1,2,66dbf6d2-0aca-11e7-82f6-3863bb44ef7c,2023-08-24 01:00:31.430765,0.0,0.0
3807,1,2,4148,1,False,1692839321,7,17,1,1,0,b471c112-1770-4dfe-9e13-fe7479dcb5a5,2023-08-24 01:00:31.430765,0.0,0.0
3808,6,0,5061,1,False,1692839322,9,1,1,1,0,f42b3158-3f78-4a62-964a-8cc554d69c35,2023-08-24 01:00:31.430765,0.0,0.0
3809,0,0,4846,1,False,1692839322,0,17,1,1,0,7b56cbab-9d93-4043-bfa5-63eb6b3e5281,2023-08-24 01:00:31.430765,,
3810,1,1,4966,1,False,1692839322,3,14,1,1,0,5782a158-b596-4936-a451-32ccc131a57d,2023-08-24 01:00:31.430765,0.0,0.0
