,num_docks_available,is_returning,is_renting,num_ebikes_available,num_docks_disabled,num_bikes_available,legacy_id,num_bikes_disabled,station_id,station_status,last_reported,eightd_has_available_keys,is_installed,last_update
57,9,1,1,2,0,9,278,0,278,active,1671925592,False,1,2022-12-25 01:15:43.835963
58,25,1,1,13,0,70,281,1,281,active,1671929731,False,1,2022-12-25 01:15:43.835963
59,2,1,1,13,0,46,284,1,284,active,1671930269,False,1,2022-12-25 01:15:43.835963
60,3,0,0,10,0,107,285,1,285,active,1671903699,False,1,2022-12-25 01:15:43.835963
61,13,1,1,1,0,4,289,1,289,active,1671910531,False,1,2022-12-25 01:15:43.835963
62,10,1,1,3,0,6,291,3,291,active,1671926567,False,1,2022-12-25 01:15:43.835963
63,5,1,1,7,0,82,293,3,293,active,1671929227,False,1,2022-12-25 01:15:43.835963
64,1,1,1,3,0,60,294,2,294,active,1671925262,False,1,2022-12-25 01:15:43.835963
65,9,1,1,1,0,24,295,1,295,active,1671930962,False,1,2022-12-25 01:15:43.835963
66,5,0,0,2,0,70,297,2,297,active,1671893558,False,1,2022-12-25 01:15:43.835963
67,2,1,1,5,0,29,298,2,298,active,1671923128,False,1,2022-12-25 01:15:43.835963
68,32,1,1,0,0,22,301,4,301,active,1671927665,False,1,2022-12-25 01:15:43.835963
69,41,1,1,1,0,12,302,2,302,active,1671929118,False,1,2022-12-25 01:15:43.835963
70,3,1,1,5,0,61,303,2,303,active,1671930221,False,1,2022-12-25 01:15:43.835963
71,0,1,1,6,0,45,304,1,304,active,1671929390,False,1,2022-12-25 01:15:43.835963
72,0,0,0,0,0,0,305,0,305,out_of_service,86400,False,0,2022-12-25 01:15:43.835963
73,10,1,1,3,1,15,307,2,307,active,1671927573,False,1,2022-12-25 01:15:43.835963
74,4,1,1,0,0,44,308,0,308,active,1671930278,False,1,2022-12-25 01:15:43.835963
75,11,1,1,0,0,42,311,5,311,active,1671929914,False,1,2022-12-25 01:15:43.835963
76,6,1,1,0,0,20,312,7,312,active,1671930182,False,1,2022-12-25 01:15:43.835963
77,10,1,1,3,0,45,313,0,313,active,1671927117,False,1,2022-12-25 01:15:43.835963
78,0,1,1,2,0,43,315,0,315,active,1671863168,False,1,2022-12-25 01:15:43.835963
79,13,0,0,2,0,28,316,2,316,active,1671918963,False,1,2022-12-25 01:15:43.835963
80,26,1,1,0,0,35,317,4,317,active,1671928240,False,1,2022-12-25 01:15:43.835963
81,2,1,1,5,0,27,319,3,319,active,1671921746,False,1,2022-12-25 01:15:43.835963
82,6,1,1,4,0,46,320,2,320,active,1671930344,False,1,2022-12-25 01:15:43.835963
83,16,1,1,1,0,21,321,2,321,active,1671920714,False,1,2022-12-25 01:15:43.835963
84,17,1,1,2,0,20,323,2,323,active,1671929727,False,1,2022-12-25 01:15:43.835963
85,4,1,1,11,0,66,324,3,324,active,1671928287,False,1,2022-12-25 01:15:43.835963
86,16,1,1,2,0,17,325,1,325,active,1671926758,False,1,2022-12-25 01:15:43.835963
87,35,1,1,1,0,24,326,1,326,active,1671930078,False,1,2022-12-25 01:15:43.835963
88,3,1,1,0,0,32,327,3,327,active,1671929612,False,1,2022-12-25 01:15:43.835963
89,6,1,1,2,0,27,328,2,328,active,1671915730,False,1,2022-12-25 01:15:43.835963
90,13,1,1,3,0,28,330,1,330,active,1671930135,False,1,2022-12-25 01:15:43.835963
91,8,1,1,0,0,17,331,1,331,active,1671930417,False,1,2022-12-25 01:15:43.835963
92,34,1,1,0,0,1,332,1,332,active,1671929798,False,1,2022-12-25 01:15:43.835963
93,6,1,1,1,0,36,334,2,334,active,1671927714,False,1,2022-12-25 01:15:43.835963
94,1,1,1,5,0,19,335,4,335,active,1671924464,False,1,2022-12-25 01:15:43.835963
95,1,1,1,8,0,49,336,3,336,active,1671928332,False,1,2022-12-25 01:15:43.835963
96,34,1,1,1,0,5,339,2,339,active,1671917470,False,1,2022-12-25 01:15:43.835963
97,19,1,1,3,0,8,340,0,340,active,1671926725,False,1,2022-12-25 01:15:43.835963
98,12,1,1,1,0,7,341,0,341,active,1671914325,False,1,2022-12-25 01:15:43.835963
99,9,1,1,0,0,17,342,3,342,active,1671927857,False,1,2022-12-25 01:15:43.835963
100,3,1,1,0,0,19,343,1,343,active,1671919964,False,1,2022-12-25 01:15:43.835963
101,16,1,1,2,0,5,344,2,344,active,1671926539,False,1,2022-12-25 01:15:43.835963
102,0,1,1,1,0,23,346,2,346,active,1671927028,False,1,2022-12-25 01:15:43.835963
103,10,1,1,4,0,40,347,3,347,active,1671931054,False,1,2022-12-25 01:15:43.835963
104,40,1,1,2,0,19,349,1,349,active,1671930819,False,1,2022-12-25 01:15:43.835963
105,34,1,1,2,0,10,350,3,350,active,1671928038,False,1,2022-12-25 01:15:43.835963
106,5,1,1,9,0,28,352,1,352,active,1671930492,False,1,2022-12-25 01:15:43.835963
107,20,1,1,0,0,5,353,1,353,active,1671925136,False,1,2022-12-25 01:15:43.835963
108,53,1,1,3,0,6,354,2,354,active,1671929978,False,1,2022-12-25 01:15:43.835963
109,10,1,1,2,0,32,355,1,355,active,1671929283,False,1,2022-12-25 01:15:43.835963
110,20,1,1,2,0,2,356,1,356,active,1671921435,False,1,2022-12-25 01:15:43.835963
111,20,1,1,2,0,28,358,2,358,active,1671919525,False,1,2022-12-25 01:15:43.835963
112,87,1,1,7,0,23,359,1,359,active,1671917975,False,1,2022-12-25 01:15:43.835963
113,11,1,1,1,0,42,360,4,360,active,1671918515,False,1,2022-12-25 01:15:43.835963
114,11,1,1,2,0,62,361,6,361,active,1671930216,False,1,2022-12-25 01:15:43.835963
115,20,1,1,15,0,32,362,2,362,active,1671918320,False,1,2022-12-25 01:15:43.835963
116,8,1,1,19,0,65,363,0,363,active,1671927611,False,1,2022-12-25 01:15:43.835963
117,9,1,1,2,0,16,364,2,364,active,1671923426,False,1,2022-12-25 01:15:43.835963
118,20,1,1,3,0,11,366,2,366,active,1671920548,False,1,2022-12-25 01:15:43.835963
119,36,1,1,8,0,21,367,0,367,active,1671928839,False,1,2022-12-25 01:15:43.835963
120,0,0,0,0,0,0,368,0,368,out_of_service,86400,False,0,2022-12-25 01:15:43.835963
121,4,1,1,3,0,65,369,5,369,active,1671928763,False,1,2022-12-25 01:15:43.835963
122,20,1,1,1,0,4,372,0,372,active,1671921095,False,1,2022-12-25 01:15:43.835963
123,10,1,1,3,0,3,373,3,373,active,1671919311,False,1,2022-12-25 01:15:43.835963
124,8,1,1,0,0,33,376,1,376,active,1671928294,False,1,2022-12-25 01:15:43.835963
125,2,1,1,3,0,42,377,5,377,active,1671925889,False,1,2022-12-25 01:15:43.835963
126,0,0,0,16,0,24,379,27,379,active,1671904391,False,1,2022-12-25 01:15:43.835963
127,10,1,1,6,0,13,380,1,380,active,1671928106,False,1,2022-12-25 01:15:43.835963
128,0,0,0,0,0,0,383,0,383,out_of_service,86400,False,0,2022-12-25 01:15:43.835963
129,16,1,1,1,0,9,385,4,385,active,1671930330,False,1,2022-12-25 01:15:43.835963
130,13,1,1,1,0,64,386,3,386,active,1671928928,False,1,2022-12-25 01:15:43.835963
131,3,1,1,2,0,31,387,5,387,active,1671930747,False,1,2022-12-25 01:15:43.835963
132,15,1,1,3,0,35,388,0,388,active,1671928485,False,1,2022-12-25 01:15:43.835963
133,3,1,1,7,0,42,390,2,390,active,1671928645,False,1,2022-12-25 01:15:43.835963
134,36,1,1,1,0,7,391,0,391,active,1671926763,False,1,2022-12-25 01:15:43.835963
135,19,1,1,1,0,15,392,0,392,active,1671920397,False,1,2022-12-25 01:15:43.835963
136,41,1,1,0,0,14,393,0,393,active,1671926128,False,1,2022-12-25 01:15:43.835963
137,21,1,1,1,0,10,394,1,394,active,1671930167,False,1,2022-12-25 01:15:43.835963
138,11,1,1,2,0,12,396,1,396,active,1671929540,False,1,2022-12-25 01:15:43.835963
139,64,1,1,5,0,7,397,2,397,active,1671925000,False,1,2022-12-25 01:15:43.835963
140,1,1,1,3,0,36,398,0,398,active,1671921355,False,1,2022-12-25 01:15:43.835963
141,31,1,1,1,0,7,399,0,399,active,1671929413,False,1,2022-12-25 01:15:43.835963
142,9,1,1,1,0,5,400,0,400,active,1671927351,False,1,2022-12-25 01:15:43.835963
143,4,1,1,3,0,33,401,4,401,active,1671930699,False,1,2022-12-25 01:15:43.835963
144,0,0,0,0,0,0,403,0,403,out_of_service,86400,False,0,2022-12-25 01:15:43.835963
145,2,1,1,15,0,48,405,1,405,active,1671928392,False,1,2022-12-25 01:15:43.835963
146,11,1,1,1,0,7,406,1,406,active,1671928694,False,1,2022-12-25 01:15:43.835963
147,9,1,1,2,0,33,408,2,408,active,1671923238,False,1,2022-12-25 01:15:43.835963
148,75,1,1,0,0,1,410,3,410,active,1671925195,False,1,2022-12-25 01:15:43.835963
149,17,1,1,2,0,10,411,2,411,active,1671930774,False,1,2022-12-25 01:15:43.835963
150,12,1,1,6,0,12,412,1,412,active,1671929543,False,1,2022-12-25 01:15:43.835963
151,0,0,0,0,0,0,415,0,415,out_of_service,86400,False,0,2022-12-25 01:15:43.835963
152,22,1,1,2,0,4,416,1,416,active,1671930759,False,1,2022-12-25 01:15:43.835963
153,1,1,1,1,0,24,417,0,417,active,1671863168,False,1,2022-12-25 01:15:43.835963
154,3,0,0,1,0,33,418,1,418,active,1671863165,False,1,2022-12-25 01:15:43.835963
155,5,1,1,2,0,18,419,0,419,active,1671930082,False,1,2022-12-25 01:15:43.835963
156,37,1,1,3,0,11,420,1,420,active,1671926038,False,1,2022-12-25 01:15:43.835963
157,0,1,1,2,3,2,421,14,421,active,1671931102,False,1,2022-12-25 01:15:43.835963
158,105,1,1,1,0,9,422,2,422,active,1671927975,False,1,2022-12-25 01:15:43.835963
159,42,1,1,0,0,0,423,1,423,active,1671929340,False,1,2022-12-25 01:15:43.835963
160,12,0,0,5,0,63,426,4,426,active,1671863167,False,1,2022-12-25 01:15:43.835963
161,0,1,1,2,0,69,427,0,427,active,1671894094,False,1,2022-12-25 01:15:43.835963
162,4,1,1,9,0,53,428,2,428,active,1671930788,False,1,2022-12-25 01:15:43.835963
163,20,1,1,0,0,23,432,2,432,active,1671931042,False,1,2022-12-25 01:15:43.835963
164,2,1,1,5,0,51,434,5,434,active,1671922465,False,1,2022-12-25 01:15:43.835963
165,17,1,1,0,0,50,435,4,435,active,1671930539,False,1,2022-12-25 01:15:43.835963
166,25,1,1,0,0,1,436,1,436,active,1671915498,False,1,2022-12-25 01:15:43.835963
167,5,0,0,1,0,15,437,4,437,active,1671899149,False,1,2022-12-25 01:15:43.835963
168,9,1,1,0,0,55,438,5,438,active,1671922896,False,1,2022-12-25 01:15:43.835963
169,14,0,0,7,0,29,439,0,439,active,1671852706,False,1,2022-12-25 01:15:43.835963
170,29,1,1,1,0,3,440,0,440,active,1671924428,False,1,2022-12-25 01:15:43.835963
171,19,1,1,4,0,29,442,1,442,active,1671929975,False,1,2022-12-25 01:15:43.835963
172,12,1,1,0,0,11,443,0,443,active,1671863166,False,1,2022-12-25 01:15:43.835963
173,79,1,1,2,0,23,445,4,445,active,1671931035,False,1,2022-12-25 01:15:43.835963
174,20,1,1,4,0,54,446,3,446,active,1671929903,False,1,2022-12-25 01:15:43.835963
175,13,1,1,3,0,14,447,2,447,active,1671930787,False,1,2022-12-25 01:15:43.835963
176,14,1,1,3,0,6,448,1,448,active,1671930132,False,1,2022-12-25 01:15:43.835963
177,43,1,1,6,0,17,450,4,450,active,1671931011,False,1,2022-12-25 01:15:43.835963
178,14,1,1,2,0,47,453,3,453,active,1671927539,False,1,2022-12-25 01:15:43.835963
179,29,1,1,5,0,5,454,0,454,active,1671926800,False,1,2022-12-25 01:15:43.835963
180,56,1,1,1,0,28,455,3,455,active,1671929618,False,1,2022-12-25 01:15:43.835963
181,38,1,1,2,0,12,456,0,456,active,1671926867,False,1,2022-12-25 01:15:43.835963
182,29,1,1,24,0,42,457,2,457,active,1671929847,False,1,2022-12-25 01:15:43.835963
183,11,1,1,1,0,33,458,0,458,active,1671915167,False,1,2022-12-25 01:15:43.835963
184,13,1,1,2,0,9,460,2,460,active,1671926107,False,1,2022-12-25 01:15:43.835963
185,28,1,1,3,0,27,461,1,461,active,1671925790,False,1,2022-12-25 01:15:43.835963
186,8,1,1,0,0,66,462,3,462,active,1671929462,False,1,2022-12-25 01:15:43.835963
187,1,0,0,0,0,0,464,0,464,out_of_service,1665166826,False,0,2022-12-25 01:15:43.835963
188,15,1,1,23,0,38,465,0,465,active,1671931149,False,1,2022-12-25 01:15:43.835963
189,10,1,1,0,0,24,466,1,466,active,1671926814,False,1,2022-12-25 01:15:43.835963
190,57,1,1,6,0,20,468,2,468,active,1671928786,False,1,2022-12-25 01:15:43.835963
