,num_docks_disabled,station_id,legacy_id,num_bikes_available,is_renting,num_ebikes_available,num_docks_available,num_bikes_disabled,is_returning,eightd_has_available_keys,is_installed,last_reported,last_update,num_scooters_unavailable,num_scooters_available
0,0,1815967807827104584,1815967807827104584,0,0,0,0,0,0,False,0,86400,2023-08-11 01:00:30.385509,,
1,0,1828968883163894358,1828968883163894358,0,0,0,0,0,0,False,0,86400,2023-08-11 01:00:30.385509,,
2,0,1834145589124844432,1834145589124844432,0,0,0,0,0,0,False,0,86400,2023-08-11 01:00:30.385509,,
3,0,1835246937517543544,1835246937517543544,0,0,0,0,0,0,False,0,86400,2023-08-11 01:00:30.385509,,
4,0,1838071008881986168,1838071008881986168,0,0,0,0,0,0,False,0,86400,2023-08-11 01:00:30.385509,,
5,0,1835246658344669972,1835246658344669972,0,0,0,0,0,0,False,0,86400,2023-08-11 01:00:30.385509,,
6,0,73f36547-e5a9-4039-bca7-a2ccdb78371c,4738,0,0,0,0,0,0,False,0,86400,2023-08-11 01:00:30.385509,,
7,0,1840540852548303628,1840540852548303628,0,0,0,0,0,0,False,0,86400,2023-08-11 01:00:30.385509,,
8,0,2c3ae1e9-00f4-480c-b095-4a3112db3594,5050,0,0,0,0,0,0,False,0,86400,2023-08-11 01:00:30.385509,,
9,0,1828967979464708718,1828967979464708718,0,0,0,0,0,0,False,0,86400,2023-08-11 01:00:30.385509,,
10,0,8d650b03-920d-4d44-a48f-8d9a1a0ba264,4451,12,1,1,7,2,1,False,1,1691715868,2023-08-11 01:00:30.385509,0.0,0.0
11,0,754ac5df-f2b5-4636-8c58-ed84ea262bde,4603,8,1,1,8,3,1,False,1,1691715869,2023-08-11 01:00:30.385509,0.0,0.0
12,1,c80c55c4-d623-42d7-8acf-6bfa68a84ecb,4151,14,1,2,3,2,1,False,1,1691715869,2023-08-11 01:00:30.385509,0.0,0.0
13,1,ef6216aa-d3c8-46bb-8c6b-b62f8ba51b16,3824,0,1,0,22,0,1,False,1,1691715868,2023-08-11 01:00:30.385509,,
14,0,af72ab76-c6cb-4994-af96-51fa8846ecdc,4941,1,1,0,17,2,1,False,1,1691715869,2023-08-11 01:00:30.385509,0.0,0.0
15,0,816e50eb-dc4b-47dc-b773-154e2020cb0d,4391,8,1,0,9,2,1,False,1,1691715869,2023-08-11 01:00:30.385509,0.0,0.0
16,0,66dbec40-0aca-11e7-82f6-3863bb44ef7c,393,17,1,5,35,3,1,False,1,1691715871,2023-08-11 01:00:30.385509,0.0,0.0
17,0,66dbe68e-0aca-11e7-82f6-3863bb44ef7c,383,42,1,6,8,6,1,False,1,1691715871,2023-08-11 01:00:30.385509,0.0,0.0
18,0,f523c481-ba41-44ba-96e1-0c431fbea558,4766,1,1,1,23,0,1,False,1,1691715884,2023-08-11 01:00:30.385509,0.0,0.0
19,0,78aabb95-6195-4aa7-ab0d-5748eeb26bd1,3866,12,1,5,20,0,1,False,1,1691715886,2023-08-11 01:00:30.385509,0.0,0.0
20,0,457ea5d7-d643-4028-87db-46dee0b81555,3856,7,1,2,16,2,1,False,1,1691715886,2023-08-11 01:00:30.385509,0.0,0.0
21,0,66dc2c78-0aca-11e7-82f6-3863bb44ef7c,469,38,1,4,42,4,1,False,1,1691715886,2023-08-11 01:00:30.385509,0.0,0.0
