,station_status,num_bikes_available,num_bikes_disabled,num_docks_disabled,is_returning,is_renting,legacy_id,num_ebikes_available,station_id,eightd_has_available_keys,last_reported,is_installed,num_docks_available,last_update
57,active,4,0,0,1,1,278,1,278,False,1670720120,1,15,2022-12-11 01:15:22.608583
58,active,10,1,0,1,1,281,5,281,False,1670721686,1,83,2022-12-11 01:15:22.608583
59,active,4,0,0,1,1,284,1,284,False,1670721772,1,46,2022-12-11 01:15:22.608583
60,active,26,3,0,1,1,285,2,285,False,1670721673,1,64,2022-12-11 01:15:22.608583
61,active,5,2,0,1,1,289,0,289,False,1670720320,1,12,2022-12-11 01:15:22.608583
62,active,11,3,0,1,1,291,2,291,False,1670721415,1,6,2022-12-11 01:15:22.608583
63,active,81,5,0,1,1,293,7,293,False,1670721945,1,4,2022-12-11 01:15:22.608583
64,active,48,4,0,1,1,294,19,294,False,1670721359,1,12,2022-12-11 01:15:22.608583
65,active,29,0,0,1,1,295,6,295,False,1670720968,1,4,2022-12-11 01:15:22.608583
66,active,56,4,0,1,1,297,2,297,False,1670721605,1,17,2022-12-11 01:15:22.608583
67,active,21,1,0,1,1,298,2,298,False,1670720138,1,12,2022-12-11 01:15:22.608583
68,active,29,6,0,1,1,301,8,301,False,1670721694,1,22,2022-12-11 01:15:22.608583
69,active,12,0,0,1,1,302,5,302,False,1670721890,1,43,2022-12-11 01:15:22.608583
70,active,50,3,0,1,1,303,2,303,False,1670721769,1,14,2022-12-11 01:15:22.608583
71,active,42,1,0,1,1,304,3,304,False,1670721200,1,5,2022-12-11 01:15:22.608583
72,out_of_service,0,0,0,0,0,305,0,305,False,86400,0,0,2022-12-11 01:15:22.608583
73,active,26,1,0,1,1,307,6,307,False,1670721471,1,1,2022-12-11 01:15:22.608583
74,active,45,0,0,1,1,308,3,308,False,1670720248,1,3,2022-12-11 01:15:22.608583
75,active,37,4,0,1,1,311,2,311,False,1670721248,1,16,2022-12-11 01:15:22.608583
76,active,27,4,0,1,1,312,4,312,False,1670721533,1,0,2022-12-11 01:15:22.608583
77,active,30,1,0,1,1,313,0,313,False,1670720225,1,23,2022-12-11 01:15:22.608583
78,active,34,2,0,1,1,315,4,315,False,1670718937,1,7,2022-12-11 01:15:22.608583
79,active,28,0,0,1,1,316,0,316,False,1670720931,1,15,2022-12-11 01:15:22.608583
80,active,47,3,0,1,1,317,1,317,False,1670721287,1,16,2022-12-11 01:15:22.608583
81,active,20,1,0,1,1,319,0,319,False,1670721800,1,12,2022-12-11 01:15:22.608583
82,active,43,0,0,1,1,320,0,320,False,1670721897,1,11,2022-12-11 01:15:22.608583
83,active,25,0,0,1,1,321,2,321,False,1670721511,1,13,2022-12-11 01:15:22.608583
84,active,23,5,0,1,1,323,0,323,False,1670721491,1,11,2022-12-11 01:15:22.608583
85,active,57,5,0,1,1,324,4,324,False,1670720537,1,9,2022-12-11 01:15:22.608583
86,active,29,1,0,1,1,325,4,325,False,1670721946,1,5,2022-12-11 01:15:22.608583
87,active,47,2,0,1,1,326,5,326,False,1670721736,1,12,2022-12-11 01:15:22.608583
88,active,34,3,0,1,1,327,8,327,False,1670721357,1,1,2022-12-11 01:15:22.608583
89,active,25,4,0,1,1,328,10,328,False,1670721684,1,5,2022-12-11 01:15:22.608583
90,active,29,5,0,1,1,330,1,330,False,1670720481,1,6,2022-12-11 01:15:22.608583
91,active,24,1,0,1,1,331,10,331,False,1670721945,1,2,2022-12-11 01:15:22.608583
92,active,8,0,0,1,1,332,8,332,False,1670721066,1,25,2022-12-11 01:15:22.608583
93,active,38,4,0,1,1,334,4,334,False,1670721484,1,2,2022-12-11 01:15:22.608583
94,active,13,3,0,1,1,335,7,335,False,1670721814,1,11,2022-12-11 01:15:22.608583
95,active,52,3,0,1,1,336,7,336,False,1670721812,1,1,2022-12-11 01:15:22.608583
96,active,5,1,0,1,1,339,2,339,False,1670717461,1,34,2022-12-11 01:15:22.608583
97,active,27,0,0,1,1,340,7,340,False,1670719510,1,0,2022-12-11 01:15:22.608583
98,active,6,0,0,1,1,341,4,341,False,1670716276,1,13,2022-12-11 01:15:22.608583
99,active,19,1,0,1,1,342,3,342,False,1670720733,1,9,2022-12-11 01:15:22.608583
100,active,15,2,0,1,1,343,0,343,False,1670720154,1,6,2022-12-11 01:15:22.608583
101,active,0,1,0,1,1,344,0,344,False,1670721223,1,20,2022-12-11 01:15:22.608583
102,active,16,1,0,1,1,346,2,346,False,1670721830,1,9,2022-12-11 01:15:22.608583
103,active,52,2,0,1,1,347,9,347,False,1670721929,1,0,2022-12-11 01:15:22.608583
104,active,23,0,0,1,1,349,5,349,False,1670721753,1,38,2022-12-11 01:15:22.608583
105,active,35,6,0,1,1,350,5,350,False,1670720071,1,4,2022-12-11 01:15:22.608583
106,active,9,0,0,1,1,352,2,352,False,1670720784,1,27,2022-12-11 01:15:22.608583
107,active,24,1,0,1,1,353,3,353,False,1670720783,1,2,2022-12-11 01:15:22.608583
108,active,18,4,0,1,1,354,1,354,False,1670721223,1,40,2022-12-11 01:15:22.608583
109,active,31,3,0,1,1,355,0,355,False,1670721603,1,8,2022-12-11 01:15:22.608583
110,active,13,0,0,1,1,356,3,356,False,1670720839,1,9,2022-12-11 01:15:22.608583
111,active,42,6,0,1,1,358,4,358,False,1670721948,1,0,2022-12-11 01:15:22.608583
112,active,15,2,0,1,1,359,1,359,False,1670721333,1,90,2022-12-11 01:15:22.608583
113,active,48,0,0,1,1,360,6,360,False,1670721476,1,9,2022-12-11 01:15:22.608583
114,active,76,3,0,1,1,361,11,361,False,1670721387,1,0,2022-12-11 01:15:22.608583
115,active,8,1,0,1,1,362,2,362,False,1670719754,1,48,2022-12-11 01:15:22.608583
116,active,58,0,0,1,1,363,7,363,False,1670721726,1,13,2022-12-11 01:15:22.608583
117,active,5,1,0,1,1,364,0,364,False,1670721203,1,21,2022-12-11 01:15:22.608583
118,active,4,2,0,1,1,366,2,366,False,1670721605,1,27,2022-12-11 01:15:22.608583
119,active,2,0,0,1,1,367,0,367,False,1670721846,1,54,2022-12-11 01:15:22.608583
120,out_of_service,0,0,0,0,0,368,0,368,False,86400,0,0,2022-12-11 01:15:22.608583
121,active,64,2,0,1,1,369,4,369,False,1670721895,1,9,2022-12-11 01:15:22.608583
122,active,3,0,0,1,1,372,1,372,False,1670721309,1,24,2022-12-11 01:15:22.608583
123,active,3,2,0,1,1,373,0,373,False,1670720696,1,13,2022-12-11 01:15:22.608583
124,active,41,0,0,1,1,376,3,376,False,1670721522,1,2,2022-12-11 01:15:22.608583
125,active,31,4,0,1,1,377,9,377,False,1670721814,1,14,2022-12-11 01:15:22.608583
126,active,47,2,0,1,1,379,10,379,False,1670721813,1,4,2022-12-11 01:15:22.608583
127,active,3,33,6,1,1,380,3,380,False,1670721937,1,0,2022-12-11 01:15:22.608583
128,out_of_service,0,0,0,0,0,383,0,383,False,86400,0,0,2022-12-11 01:15:22.608583
129,active,18,0,0,1,1,385,2,385,False,1670721807,1,8,2022-12-11 01:15:22.608583
130,active,68,3,0,1,1,386,1,386,False,1670721382,1,11,2022-12-11 01:15:22.608583
131,active,5,5,0,1,1,387,1,387,False,1670721558,1,29,2022-12-11 01:15:22.608583
132,active,36,2,0,1,1,388,1,388,False,1670720440,1,13,2022-12-11 01:15:22.608583
133,active,30,2,0,1,1,390,0,390,False,1670721032,1,16,2022-12-11 01:15:22.608583
134,active,1,1,0,1,1,391,0,391,False,1670720112,1,40,2022-12-11 01:15:22.608583
135,active,28,4,0,1,1,392,3,392,False,1670721676,1,3,2022-12-11 01:15:22.608583
136,active,17,0,1,1,1,393,4,393,False,1670720709,1,37,2022-12-11 01:15:22.608583
137,active,6,0,0,1,1,394,4,394,False,1670721694,1,28,2022-12-11 01:15:22.608583
138,active,10,2,0,1,1,396,0,396,False,1670721811,1,12,2022-12-11 01:15:22.608583
139,active,11,2,0,1,1,397,0,397,False,1670720266,1,62,2022-12-11 01:15:22.608583
140,active,22,6,0,1,1,398,1,398,False,1670720778,1,9,2022-12-11 01:15:22.608583
141,active,4,1,0,1,1,399,1,399,False,1670721876,1,34,2022-12-11 01:15:22.608583
142,active,13,0,0,1,1,400,1,400,False,1670713945,1,2,2022-12-11 01:15:22.608583
143,active,32,5,0,1,1,401,2,401,False,1670721472,1,3,2022-12-11 01:15:22.608583
144,out_of_service,0,0,0,0,0,403,0,403,False,86400,0,0,2022-12-11 01:15:22.608583
145,active,34,3,0,1,1,405,2,405,False,1670721959,1,14,2022-12-11 01:15:22.608583
146,active,1,3,0,1,1,406,1,406,False,1670720405,1,15,2022-12-11 01:15:22.608583
147,active,40,2,0,1,1,408,2,408,False,1670720500,1,2,2022-12-11 01:15:22.608583
148,active,34,1,0,1,1,410,11,410,False,1670721790,1,44,2022-12-11 01:15:22.608583
149,active,13,0,0,1,1,411,0,411,False,1670721755,1,17,2022-12-11 01:15:22.608583
150,active,26,1,0,1,1,412,4,412,False,1670721918,1,0,2022-12-11 01:15:22.608583
151,out_of_service,0,0,0,0,0,415,0,415,False,86400,0,0,2022-12-11 01:15:22.608583
152,active,15,1,0,1,1,416,1,416,False,1670720483,1,11,2022-12-11 01:15:22.608583
153,active,25,0,0,1,1,417,0,417,False,1670721482,1,0,2022-12-11 01:15:22.608583
154,active,32,0,0,1,1,418,6,418,False,1670720960,1,4,2022-12-11 01:15:22.608583
155,active,12,0,0,1,1,419,3,419,False,1670721575,1,10,2022-12-11 01:15:22.608583
156,active,9,2,0,1,1,420,5,420,False,1670721231,1,39,2022-12-11 01:15:22.608583
157,active,1,0,0,1,1,421,0,421,False,1670719791,1,17,2022-12-11 01:15:22.608583
158,active,3,2,0,1,1,422,1,422,False,1670721867,1,111,2022-12-11 01:15:22.608583
159,active,2,1,0,1,1,423,2,423,False,1670721952,1,41,2022-12-11 01:15:22.608583
160,active,79,1,0,1,1,426,20,426,False,1670721938,1,0,2022-12-11 01:15:22.608583
161,active,60,0,0,1,1,427,4,427,False,1670716796,1,9,2022-12-11 01:15:22.608583
162,active,48,1,0,1,1,428,1,428,False,1670721827,1,9,2022-12-11 01:15:22.608583
163,active,30,1,0,1,1,432,2,432,False,1670721362,1,13,2022-12-11 01:15:22.608583
164,active,52,5,0,1,1,434,3,434,False,1670721532,1,3,2022-12-11 01:15:22.608583
165,active,43,1,0,1,1,435,3,435,False,1670721847,1,29,2022-12-11 01:15:22.608583
166,active,2,2,0,1,1,436,0,436,False,1670720569,1,23,2022-12-11 01:15:22.608583
167,active,5,4,0,1,1,437,2,437,False,1670721215,1,15,2022-12-11 01:15:22.608583
168,active,59,1,0,1,1,438,4,438,False,1670721847,1,9,2022-12-11 01:15:22.608583
169,active,37,3,0,1,1,439,6,439,False,1670721954,1,1,2022-12-11 01:15:22.608583
170,active,14,3,0,1,1,440,3,440,False,1670720891,1,13,2022-12-11 01:15:22.608583
171,active,17,1,0,1,1,442,0,442,False,1670721903,1,32,2022-12-11 01:15:22.608583
172,active,22,1,0,1,1,443,5,443,False,1670721787,1,0,2022-12-11 01:15:22.608583
173,active,82,1,0,1,1,445,11,445,False,1670721386,1,24,2022-12-11 01:15:22.608583
174,active,43,3,0,1,1,446,0,446,False,1670721169,1,32,2022-12-11 01:15:22.608583
175,active,24,2,0,1,1,447,6,447,False,1670721917,1,3,2022-12-11 01:15:22.608583
176,active,10,1,0,1,1,448,2,448,False,1670721527,1,16,2022-12-11 01:15:22.608583
177,active,2,1,0,1,1,450,1,450,False,1670721811,1,61,2022-12-11 01:15:22.608583
178,active,61,3,0,1,1,453,16,453,False,1670721717,1,1,2022-12-11 01:15:22.608583
179,active,13,2,0,1,1,454,6,454,False,1670721853,1,18,2022-12-11 01:15:22.608583
180,active,44,1,0,1,1,455,0,455,False,1670717542,1,41,2022-12-11 01:15:22.608583
181,active,2,1,0,1,1,456,0,456,False,1670720819,1,48,2022-12-11 01:15:22.608583
182,active,0,2,0,1,1,457,0,457,False,1670721310,1,76,2022-12-11 01:15:22.608583
183,active,39,0,0,1,1,458,1,458,False,1670721803,1,5,2022-12-11 01:15:22.608583
184,active,24,1,0,1,1,460,2,460,False,1670721676,1,0,2022-12-11 01:15:22.608583
185,active,12,1,0,1,1,461,2,461,False,1670721949,1,42,2022-12-11 01:15:22.608583
186,active,65,3,0,1,1,462,3,462,False,1670721833,1,9,2022-12-11 01:15:22.608583
187,out_of_service,0,0,0,0,0,464,0,464,False,1665166826,0,1,2022-12-11 01:15:22.608583
188,active,41,2,0,1,1,465,11,465,False,1670721963,1,10,2022-12-11 01:15:22.608583
189,active,15,2,0,1,1,466,1,466,False,1670721586,1,17,2022-12-11 01:15:22.608583
190,active,2,3,0,1,1,468,0,468,False,1670721789,1,74,2022-12-11 01:15:22.608583
191,active,1,1,0,1,1,469,0,469,False,1670718106,1,80,2022-12-11 01:15:22.608583
192,active,61,3,0,1,1,470,16,470,False,1670721519,1,17,2022-12-11 01:15:22.608583
193,active,27,1,0,1,1,471,2,471,False,1670721394,1,3,2022-12-11 01:15:22.608583
194,active,20,0,0,1,1,472,3,472,False,1670721897,1,34,2022-12-11 01:15:22.608583
195,active,56,0,0,1,1,473,4,473,False,1670721795,1,8,2022-12-11 01:15:22.608583
196,active,40,0,0,1,1,474,19,474,False,1670721661,1,15,2022-12-11 01:15:22.608583
197,active,16,2,0,1,1,476,7,476,False,1670721877,1,46,2022-12-11 01:15:22.608583
198,active,19,2,4,1,1,477,10,477,False,1670721266,1,40,2022-12-11 01:15:22.608583
199,active,8,3,0,1,1,478,4,478,False,1670721634,1,43,2022-12-11 01:15:22.608583
200,active,21,2,0,1,1,479,8,479,False,1670721839,1,7,2022-12-11 01:15:22.608583
201,active,7,1,0,1,1,480,0,480,False,1670721653,1,21,2022-12-11 01:15:22.608583
202,active,17,3,1,1,1,481,4,481,False,1670721783,1,1,2022-12-11 01:15:22.608583
203,active,33,5,0,1,1,482,0,482,False,1670721506,1,40,2022-12-11 01:15:22.608583
204,active,28,1,0,1,1,483,3,483,False,1670721573,1,39,2022-12-11 01:15:22.608583
205,active,40,2,0,1,1,484,7,484,False,1670721583,1,22,2022-12-11 01:15:22.608583
206,active,5,0,0,1,1,485,1,485,False,1670721752,1,35,2022-12-11 01:15:22.608583
207,active,28,3,0,1,1,486,9,486,False,1670721849,1,9,2022-12-11 01:15:22.608583
208,active,34,1,0,1,1,489,6,489,False,1670721837,1,30,2022-12-11 01:15:22.608583
209,active,47,1,0,1,1,490,20,490,False,1670721938,1,46,2022-12-11 01:15:22.608583
210,active,19,3,0,1,1,494,1,494,False,1670721932,1,42,2022-12-11 01:15:22.608583
211,active,10,0,0,1,1,495,9,495,False,1670721436,1,28,2022-12-11 01:15:22.608583
212,active,24,1,0,1,1,496,3,496,False,1670721537,1,38,2022-12-11 01:15:22.608583
213,active,51,11,0,1,1,497,12,497,False,1670721838,1,2,2022-12-11 01:15:22.608583
214,active,16,0,0,1,1,500,2,500,False,1670720854,1,59,2022-12-11 01:15:22.608583
215,active,34,6,0,1,1,501,2,501,False,1670721551,1,41,2022-12-11 01:15:22.608583
216,active,18,2,0,1,1,502,10,502,False,1670721198,1,16,2022-12-11 01:15:22.608583
217,active,45,0,0,1,1,503,15,503,False,1670721826,1,0,2022-12-11 01:15:22.608583
218,active,14,2,0,1,1,504,4,504,False,1670721762,1,36,2022-12-11 01:15:22.608583
219,active,42,3,1,1,1,505,14,505,False,1670721678,1,5,2022-12-11 01:15:22.608583
220,active,11,0,0,1,1,507,8,507,False,1670721964,1,68,2022-12-11 01:15:22.608583
221,active,10,3,0,1,1,508,2,508,False,1670721693,1,11,2022-12-11 01:15:22.608583
222,active,47,3,0,1,1,509,11,509,False,1670721847,1,8,2022-12-11 01:15:22.608583
223,active,52,1,0,1,1,510,24,510,False,1670721149,1,24,2022-12-11 01:15:22.608583
224,active,13,0,0,1,1,511,3,511,False,1670721434,1,29,2022-12-11 01:15:22.608583
225,active,1,2,0,1,1,512,0,512,False,1670721663,1,25,2022-12-11 01:15:22.608583
226,active,5,1,0,1,1,513,3,513,False,1670721764,1,36,2022-12-11 01:15:22.608583
227,active,10,3,0,1,1,514,8,514,False,1670721939,1,36,2022-12-11 01:15:22.608583
228,active,17,3,0,1,1,515,2,515,False,1670721805,1,57,2022-12-11 01:15:22.608583
229,active,41,3,0,1,1,516,4,516,False,1670721845,1,3,2022-12-11 01:15:22.608583
230,active,12,1,0,1,1,522,1,522,False,1670720413,1,62,2022-12-11 01:15:22.608583
231,active,27,6,0,1,1,525,0,525,False,1670721308,1,27,2022-12-11 01:15:22.608583
232,active,34,3,0,1,1,526,15,526,False,1670721814,1,2,2022-12-11 01:15:22.608583
233,active,3,2,0,1,1,528,3,528,False,1670721420,1,33,2022-12-11 01:15:22.608583
234,active,24,7,0,1,1,529,10,529,False,1670721675,1,5,2022-12-11 01:15:22.608583
235,active,10,3,0,1,1,530,1,530,False,1670721927,1,10,2022-12-11 01:15:22.608583
236,active,61,0,0,1,1,531,7,531,False,1670721893,1,3,2022-12-11 01:15:22.608583
237,active,36,1,0,1,1,532,2,532,False,1670721908,1,5,2022-12-11 01:15:22.608583
238,active,2,1,0,1,1,536,1,536,False,1670721204,1,25,2022-12-11 01:15:22.608583
239,active,25,0,0,1,1,537,0,537,False,1670721149,1,54,2022-12-11 01:15:22.608583
240,active,15,5,0,1,1,539,0,539,False,1670721679,1,9,2022-12-11 01:15:22.608583
241,active,10,1,0,1,1,540,1,540,False,1670721229,1,43,2022-12-11 01:15:22.608583
242,active,8,2,0,1,1,545,5,545,False,1670721863,1,17,2022-12-11 01:15:22.608583
243,active,31,5,0,1,1,546,0,546,False,1670719879,1,8,2022-12-11 01:15:22.608583
244,active,32,8,0,1,1,2002,1,2002,False,1670721742,1,17,2022-12-11 01:15:22.608583
245,active,24,3,0,1,1,2003,9,2003,False,1670721774,1,26,2022-12-11 01:15:22.608583
246,active,32,4,0,1,1,2006,1,2006,False,1670720329,1,36,2022-12-11 01:15:22.608583
247,active,32,0,0,1,1,2008,7,2008,False,1670721754,1,2,2022-12-11 01:15:22.608583
248,active,21,3,0,1,1,2009,4,2009,False,1670721766,1,11,2022-12-11 01:15:22.608583
249,active,33,2,0,1,1,2010,3,2010,False,1670721938,1,5,2022-12-11 01:15:22.608583
250,active,16,1,0,1,1,2012,4,2012,False,1670721249,1,42,2022-12-11 01:15:22.608583
251,active,2,1,0,1,1,2017,1,2017,False,1670721580,1,49,2022-12-11 01:15:22.608583
