,station_status,num_bikes_disabled,eightd_has_available_keys,is_installed,last_reported,num_ebikes_available,num_docks_disabled,num_docks_available,station_id,legacy_id,num_bikes_available,is_returning,is_renting,last_update
1008,active,1,False,1,1670803554,5,0,15,4056,4056,7,1,1,2022-12-12 01:15:35.023287
1009,active,1,False,1,1670795367,2,0,20,4057,4057,2,1,1,2022-12-12 01:15:35.023287
1010,active,0,False,1,1670804472,13,0,36,4058,4058,25,1,1,2022-12-12 01:15:35.023287
1011,active,0,False,1,1670807237,4,0,20,4059,4059,9,1,1,2022-12-12 01:15:35.023287
1012,active,1,False,1,1670807781,0,0,22,4060,4060,0,1,1,2022-12-12 01:15:35.023287
1013,active,0,False,1,1670801917,0,0,22,4061,4061,2,1,1,2022-12-12 01:15:35.023287
1014,active,0,False,1,1670777797,1,0,19,4062,4062,3,1,1,2022-12-12 01:15:35.023287
1015,active,0,False,1,1670799073,1,0,23,4063,4063,1,1,1,2022-12-12 01:15:35.023287
1016,active,1,False,1,1670785153,7,0,8,4064,4064,14,1,1,2022-12-12 01:15:35.023287
1017,active,1,False,1,1670802905,0,0,33,4065,4065,0,1,1,2022-12-12 01:15:35.023287
1018,active,0,False,1,1670795988,0,0,22,4066,4066,1,1,1,2022-12-12 01:15:35.023287
1019,active,0,False,1,1670777508,0,0,23,4067,4067,0,1,1,2022-12-12 01:15:35.023287
1020,active,0,False,1,1670785714,0,0,30,4068,4068,0,1,1,2022-12-12 01:15:35.023287
1021,active,0,False,1,1670803255,0,0,23,4069,4069,1,1,1,2022-12-12 01:15:35.023287
1022,active,2,False,1,1670807012,1,0,21,4070,4070,1,1,1,2022-12-12 01:15:35.023287
1023,active,0,False,1,1670807370,3,0,17,4071,4071,5,1,1,2022-12-12 01:15:35.023287
1024,active,0,False,1,1670807554,2,0,18,4073,4073,16,1,1,2022-12-12 01:15:35.023287
1025,active,0,False,1,1670784517,0,0,23,4074,4074,0,1,1,2022-12-12 01:15:35.023287
1026,active,1,False,1,1670804840,6,0,25,4075,4075,12,1,1,2022-12-12 01:15:35.023287
1027,active,1,False,1,1670784717,0,0,6,4076,4076,22,1,1,2022-12-12 01:15:35.023287
1028,active,1,False,1,1670804215,0,0,26,4078,4078,4,1,1,2022-12-12 01:15:35.023287
1029,active,0,False,1,1670791833,1,0,0,4080,4080,21,1,1,2022-12-12 01:15:35.023287
1030,active,0,False,1,1670776792,0,0,18,4081,4081,3,1,1,2022-12-12 01:15:35.023287
1031,active,0,False,1,1670796699,2,0,17,4082,4082,13,1,1,2022-12-12 01:15:35.023287
1032,active,5,False,1,1670789430,0,0,15,4083,4083,0,1,1,2022-12-12 01:15:35.023287
1033,active,2,False,1,1670805738,5,0,11,4084,4084,9,1,1,2022-12-12 01:15:35.023287
1034,active,0,False,1,1670805850,1,0,11,4085,4085,14,1,1,2022-12-12 01:15:35.023287
1035,active,1,False,1,1670747372,0,0,2,4086,4086,18,1,1,2022-12-12 01:15:35.023287
1036,active,1,False,1,1670767466,0,0,21,4087,4087,0,1,1,2022-12-12 01:15:35.023287
1037,active,0,False,1,1670795624,3,0,6,4088,4088,8,1,1,2022-12-12 01:15:35.023287
1038,active,0,False,1,1670805765,0,0,20,4090,4090,0,1,1,2022-12-12 01:15:35.023287
1039,active,2,False,1,1670805170,3,0,6,4091,4091,13,1,1,2022-12-12 01:15:35.023287
1040,active,0,False,1,1670747372,0,0,4,4092,4092,15,1,1,2022-12-12 01:15:35.023287
1041,active,1,False,1,1670806075,4,0,5,4094,4094,14,1,1,2022-12-12 01:15:35.023287
1042,active,1,False,1,1670807976,0,0,3,4095,4095,17,1,1,2022-12-12 01:15:35.023287
1043,active,0,False,1,1670806962,2,0,26,4096,4096,4,1,1,2022-12-12 01:15:35.023287
1044,active,2,False,1,1670806337,0,0,18,4098,4098,0,1,1,2022-12-12 01:15:35.023287
1045,active,0,False,1,1670808038,1,0,3,4099,4099,18,1,1,2022-12-12 01:15:35.023287
1046,active,1,False,1,1670800020,2,0,0,4101,4101,18,1,1,2022-12-12 01:15:35.023287
1047,active,2,False,1,1670805121,2,0,17,4102,4102,3,1,1,2022-12-12 01:15:35.023287
1048,active,0,False,1,1670774030,0,0,19,4103,4103,0,1,1,2022-12-12 01:15:35.023287
