,is_returning,last_reported,is_installed,num_ebikes_available,station_status,num_bikes_available,eightd_has_available_keys,is_renting,num_bikes_disabled,num_docks_available,num_docks_disabled,legacy_id,station_id,last_update,valet,eightd_active_station_services
326,0,1671234857,1,active,3128,26,False,1,0,1,3128,0,1,2022-12-17 02:00:27.007582,,
327,1,1671241414,12,active,3129,25,False,1,0,1,3129,1,1,2022-12-17 02:00:27.007582,,
328,0,1671241094,6,active,3130,29,False,1,0,1,3130,2,1,2022-12-17 02:00:27.007582,,
329,2,1671242615,21,active,3131,11,False,1,0,1,3131,6,1,2022-12-17 02:00:27.007582,,
330,0,1671243196,29,active,3132,22,False,1,0,1,3132,16,1,2022-12-17 02:00:27.007582,,
331,4,1671243238,12,active,3134,33,False,1,1,1,3134,11,1,2022-12-17 02:00:27.007582,,
332,1,1671242813,15,active,3135,25,False,1,0,1,3135,13,1,2022-12-17 02:00:27.007582,,
333,4,1671240270,25,active,3136,22,False,1,0,1,3136,3,1,2022-12-17 02:00:27.007582,,
334,3,1671242283,26,active,3137,2,False,1,0,1,3137,2,1,2022-12-17 02:00:27.007582,,
335,1,1671242566,20,active,3139,21,False,1,0,1,3139,7,1,2022-12-17 02:00:27.007582,,
336,5,1671242726,25,active,3140,26,False,1,0,1,3140,4,1,2022-12-17 02:00:27.007582,,
337,3,1671242952,20,active,3141,38,False,1,0,1,3141,0,1,2022-12-17 02:00:27.007582,,
338,1,1671243145,19,active,3142,21,False,1,0,1,3142,1,1,2022-12-17 02:00:27.007582,,
339,2,1671241921,41,active,3143,4,False,1,0,1,3143,3,1,2022-12-17 02:00:27.007582,,
340,3,1671242781,34,active,3144,8,False,1,0,1,3144,8,1,2022-12-17 02:00:27.007582,,
341,0,1671239470,39,active,3145,6,False,1,0,1,3145,3,1,2022-12-17 02:00:27.007582,,
342,1,1671242226,18,active,3146,25,False,1,0,1,3146,12,1,2022-12-17 02:00:27.007582,,
343,1,1671243203,28,active,3147,10,False,1,0,1,3147,5,1,2022-12-17 02:00:27.007582,,
344,0,1671243202,11,active,3148,18,False,1,0,1,3148,13,1,2022-12-17 02:00:27.007582,,
345,3,1671242775,31,active,3151,11,False,1,0,1,3151,9,1,2022-12-17 02:00:27.007582,,
346,0,1671240920,33,active,3152,8,False,1,0,1,3152,4,1,2022-12-17 02:00:27.007582,,
347,0,1671237891,27,active,3154,18,False,1,0,1,3154,5,1,2022-12-17 02:00:27.007582,,
348,0,1671243162,20,active,3156,16,False,1,0,1,3156,1,1,2022-12-17 02:00:27.007582,,
349,0,1671241513,20,active,3157,7,False,1,0,1,3157,3,1,2022-12-17 02:00:27.007582,,
350,0,1671242504,22,active,3158,8,False,1,0,1,3158,7,1,2022-12-17 02:00:27.007582,,
351,2,1671242232,17,active,3159,9,False,1,0,1,3159,9,1,2022-12-17 02:00:27.007582,,
352,1,1671240844,25,active,3160,13,False,1,0,1,3160,9,1,2022-12-17 02:00:27.007582,,
353,0,1671241838,35,active,3161,24,False,1,0,1,3161,11,1,2022-12-17 02:00:27.007582,,
354,0,1671241949,36,active,3163,5,False,1,0,1,3163,3,1,2022-12-17 02:00:27.007582,,
355,0,1671243118,33,active,3164,30,False,1,0,1,3164,26,1,2022-12-17 02:00:27.007582,,
356,0,1671242413,43,active,3165,7,False,1,0,1,3165,6,1,2022-12-17 02:00:27.007582,,
357,1,1671241664,34,active,3166,6,False,1,0,1,3166,5,1,2022-12-17 02:00:27.007582,,
358,0,1671242863,44,active,3167,10,False,1,0,1,3167,10,1,2022-12-17 02:00:27.007582,,
359,1,1671242946,58,active,3169,11,False,1,1,1,3169,10,1,2022-12-17 02:00:27.007582,,
360,1,1671242942,27,active,3170,7,False,1,0,1,3170,0,1,2022-12-17 02:00:27.007582,,
361,0,86400,0,out_of_service,3171,0,False,0,0,0,3171,0,0,2022-12-17 02:00:27.007582,,
362,0,1671240915,14,active,3172,13,False,1,0,1,3172,6,1,2022-12-17 02:00:27.007582,,
363,2,1671242732,35,active,3173,36,False,1,0,1,3173,16,1,2022-12-17 02:00:27.007582,,
364,2,1671242088,25,active,3175,14,False,1,0,1,3175,10,1,2022-12-17 02:00:27.007582,,
365,2,1671241979,29,active,3177,30,False,1,0,1,3177,11,1,2022-12-17 02:00:27.007582,,
366,1,1671241359,56,active,3178,21,False,1,0,1,3178,10,1,2022-12-17 02:00:27.007582,,
367,2,1671243060,4,active,3179,16,False,1,0,1,3179,3,1,2022-12-17 02:00:27.007582,,
368,0,1671235896,6,active,3184,8,False,1,0,1,3184,7,1,2022-12-17 02:00:27.007582,,
369,0,1671236595,1,active,3185,21,False,1,0,1,3185,3,1,2022-12-17 02:00:27.007582,,
370,0,1671243020,9,active,3186,31,False,1,0,1,3186,7,1,2022-12-17 02:00:27.007582,,
371,0,1671236623,2,active,3187,20,False,1,0,1,3187,5,1,2022-12-17 02:00:27.007582,,
372,0,1671200442,5,active,3191,13,False,1,0,1,3191,4,1,2022-12-17 02:00:27.007582,,
373,0,1671243157,9,active,3192,13,False,1,0,1,3192,4,1,2022-12-17 02:00:27.007582,,
374,0,1671222688,4,active,3193,14,False,0,0,1,3193,1,0,2022-12-17 02:00:27.007582,,
375,1,1671241132,7,active,3194,12,False,1,0,1,3194,3,1,2022-12-17 02:00:27.007582,,
376,0,1671238196,16,active,3196,2,False,1,0,1,3196,2,1,2022-12-17 02:00:27.007582,,
377,1,1671240859,12,active,3198,5,False,1,0,1,3198,3,1,2022-12-17 02:00:27.007582,,
378,0,1671242823,6,active,3199,8,False,1,0,1,3199,3,1,2022-12-17 02:00:27.007582,,
379,0,1671243133,4,active,3201,13,False,1,0,1,3201,7,1,2022-12-17 02:00:27.007582,,
380,0,86400,0,active,3202,0,False,1,0,1,3202,0,1,2022-12-17 02:00:27.007582,,
381,0,1671243210,25,active,3203,1,False,1,0,1,3203,1,1,2022-12-17 02:00:27.007582,,
382,1,1671237870,8,active,3206,15,False,1,0,1,3206,13,1,2022-12-17 02:00:27.007582,,
383,0,1671237664,24,active,3207,2,False,1,0,1,3207,1,1,2022-12-17 02:00:27.007582,,
384,0,1671242747,13,active,3209,9,False,1,0,1,3209,5,1,2022-12-17 02:00:27.007582,,
385,0,1671241259,11,active,3210,7,False,1,0,1,3210,6,1,2022-12-17 02:00:27.007582,,
386,0,1671237331,12,active,3211,10,False,1,0,1,3211,1,1,2022-12-17 02:00:27.007582,,
387,1,1671242830,11,active,3212,10,False,1,0,1,3212,1,1,2022-12-17 02:00:27.007582,,
388,0,1671229708,13,active,3213,8,False,1,0,1,3213,3,1,2022-12-17 02:00:27.007582,,
389,0,1671227762,22,active,3214,0,False,1,0,1,3214,0,1,2022-12-17 02:00:27.007582,,
390,0,1671234864,17,active,3220,1,False,1,0,1,3220,1,1,2022-12-17 02:00:27.007582,,
391,1,1671222273,5,active,3221,21,False,1,0,1,3221,0,1,2022-12-17 02:00:27.007582,,
392,0,1671237108,13,active,3225,1,False,1,0,1,3225,0,1,2022-12-17 02:00:27.007582,,
393,0,1671243013,40,active,3226,4,False,1,0,1,3226,3,1,2022-12-17 02:00:27.007582,,
394,1,1671238113,28,active,3231,10,False,1,0,1,3231,8,1,2022-12-17 02:00:27.007582,,
395,1,1671241694,29,active,3233,11,False,1,0,1,3233,5,1,2022-12-17 02:00:27.007582,,
396,2,1671240777,18,active,3235,13,False,1,0,1,3235,4,1,2022-12-17 02:00:27.007582,,
397,1,1671243133,21,active,3236,11,False,1,0,1,3236,4,1,2022-12-17 02:00:27.007582,,
398,1,1671241865,9,active,3238,25,False,1,0,1,3238,9,1,2022-12-17 02:00:27.007582,,
399,0,1671242824,14,active,3241,4,False,1,0,1,3241,3,1,2022-12-17 02:00:27.007582,,
400,0,1671241483,22,active,3243,6,False,1,0,1,3243,4,1,2022-12-17 02:00:27.007582,,
401,2,1671242136,3,active,3244,73,False,1,0,1,3244,8,1,2022-12-17 02:00:27.007582,,
402,0,1671242768,11,active,3246,38,False,1,0,1,3246,11,1,2022-12-17 02:00:27.007582,,
403,1,1671239828,15,active,3249,3,False,1,0,1,3249,2,1,2022-12-17 02:00:27.007582,,
404,17,1671230930,2,active,3254,6,False,1,0,1,3254,0,1,2022-12-17 02:00:27.007582,,
405,3,1671243092,2,active,3255,13,False,1,0,1,3255,8,1,2022-12-17 02:00:27.007582,,
406,1,1671242944,2,active,3260,42,False,1,0,1,3260,2,1,2022-12-17 02:00:27.007582,,
407,3,1671241622,11,active,3263,71,False,1,0,1,3263,3,1,2022-12-17 02:00:27.007582,,
408,2,1671240461,10,active,3267,2,False,1,0,1,3267,1,1,2022-12-17 02:00:27.007582,,
409,0,1671239576,9,active,3268,5,False,1,0,1,3268,5,1,2022-12-17 02:00:27.007582,,
410,0,1671230774,11,active,3269,2,False,0,1,1,3269,1,0,2022-12-17 02:00:27.007582,,
411,0,1671241688,12,active,3270,2,False,1,0,1,3270,1,1,2022-12-17 02:00:27.007582,,
