,num_bikes_available,station_id,legacy_id,station_status,eightd_has_available_keys,num_docks_disabled,num_docks_available,num_ebikes_available,last_reported,num_bikes_disabled,is_installed,is_renting,is_returning,last_update,valet,eightd_active_station_services
55,7,270,270,active,False,0,20,2,1671326044,1,1,1,1,2022-12-18 01:15:16.607891,,
56,3,275,275,active,False,0,14,1,1671325989,0,1,1,1,2022-12-18 01:15:16.607891,,
57,1,278,278,active,False,0,18,1,1671325070,0,1,1,1,2022-12-18 01:15:16.607891,,
58,63,281,281,active,False,0,27,17,1671325757,2,1,1,1,2022-12-18 01:15:16.607891,,
59,27,284,284,active,False,0,20,15,1671325758,2,1,1,1,2022-12-18 01:15:16.607891,,
60,96,285,285,active,False,0,14,2,1671326124,3,1,1,1,2022-12-18 01:15:16.607891,,
61,3,289,289,active,False,0,15,1,1671325750,1,1,1,1,2022-12-18 01:15:16.607891,,
62,1,291,291,active,False,0,15,0,1671325364,2,1,1,1,2022-12-18 01:15:16.607891,,
63,74,293,293,active,False,0,13,7,1671325836,3,1,1,1,2022-12-18 01:15:16.607891,,
64,54,294,294,active,False,0,2,17,1671325842,5,1,1,1,2022-12-18 01:15:16.607891,,
65,24,295,295,active,False,0,9,3,1671326148,0,1,1,1,2022-12-18 01:15:16.607891,,
66,68,297,297,active,False,0,8,2,1671325780,1,1,1,1,2022-12-18 01:15:16.607891,,
67,28,298,298,active,False,0,4,1,1671325560,2,1,1,1,2022-12-18 01:15:16.607891,,
68,9,301,301,active,False,0,48,1,1671326038,0,1,1,1,2022-12-18 01:15:16.607891,,
69,5,302,302,active,False,0,47,1,1671326009,1,1,1,1,2022-12-18 01:15:16.607891,,
70,56,303,303,active,False,0,3,4,1671325733,7,1,1,1,2022-12-18 01:15:16.607891,,
71,33,304,304,active,False,0,13,2,1671325576,1,1,1,1,2022-12-18 01:15:16.607891,,
72,0,305,305,out_of_service,False,0,0,0,86400,0,0,0,0,2022-12-18 01:15:16.607891,,
73,22,307,307,active,False,0,7,0,1671325641,0,1,1,1,2022-12-18 01:15:16.607891,,
74,46,308,308,active,False,0,1,5,1671325835,0,1,1,1,2022-12-18 01:15:16.607891,,
75,47,311,311,active,False,0,10,2,1671326155,2,1,1,1,2022-12-18 01:15:16.607891,,
76,25,312,312,active,False,0,5,2,1671326139,2,1,1,1,2022-12-18 01:15:16.607891,,
77,42,313,313,active,False,0,12,1,1671325494,0,1,1,1,2022-12-18 01:15:16.607891,,
78,42,315,315,active,False,0,0,2,1671323216,1,1,1,1,2022-12-18 01:15:16.607891,,
79,32,316,316,active,False,0,9,1,1671323776,2,1,1,1,2022-12-18 01:15:16.607891,,
80,6,317,317,active,False,0,60,2,1671325771,0,1,1,1,2022-12-18 01:15:16.607891,,
81,31,319,319,active,False,0,1,8,1671325238,1,1,1,1,2022-12-18 01:15:16.607891,,
82,47,320,320,active,False,0,5,6,1671325819,1,1,1,1,2022-12-18 01:15:16.607891,,
83,18,321,321,active,False,0,20,4,1671325838,1,1,1,1,2022-12-18 01:15:16.607891,,
