,is_renting,station_id,num_docks_disabled,num_bikes_disabled,num_ebikes_available,is_installed,num_bikes_available,legacy_id,last_reported,is_returning,eightd_has_available_keys,station_status,num_docks_available,last_update,eightd_active_station_services,valet
1343,9,0,1,4441,12,1,1,False,0,4441,1671132652,1,active,2022-12-16 02:15:17.582400,,
1344,31,17,1,4442,2,0,1,False,0,4442,1671152129,1,active,2022-12-16 02:15:17.582400,,
1345,18,11,1,4443,3,0,1,False,0,4443,1671142949,1,active,2022-12-16 02:15:17.582400,,
1346,17,0,1,4444,3,0,1,False,0,4444,1671133934,1,active,2022-12-16 02:15:17.582400,,
1347,14,12,1,4445,4,0,1,False,0,4445,1671150350,1,active,2022-12-16 02:15:17.582400,,
1348,20,12,1,4446,0,0,1,False,0,4446,1671109194,1,active,2022-12-16 02:15:17.582400,,
1349,27,4,1,4447,2,0,1,False,0,4447,1671153049,1,active,2022-12-16 02:15:17.582400,,
1350,17,2,1,4448,1,1,1,False,0,4448,1671094787,1,active,2022-12-16 02:15:17.582400,,
1351,20,1,1,4449,5,0,1,False,0,4449,1671123735,1,active,2022-12-16 02:15:17.582400,,
1352,8,7,1,4450,11,0,1,False,0,4450,1671153053,1,active,2022-12-16 02:15:17.582400,,
1353,2,1,1,4451,19,0,1,False,0,4451,1671133871,1,active,2022-12-16 02:15:17.582400,,
1354,0,0,1,4453,23,0,1,False,0,4453,1671131084,1,active,2022-12-16 02:15:17.582400,,
1355,10,1,1,4456,11,0,1,False,0,4456,1671150131,1,active,2022-12-16 02:15:17.582400,,
1356,16,5,1,4457,3,0,1,False,0,4457,1671132473,1,active,2022-12-16 02:15:17.582400,,
1357,15,2,1,4458,4,0,1,False,0,4458,1671142825,1,active,2022-12-16 02:15:17.582400,,
1358,18,9,1,4459,1,1,1,False,0,4459,1671144124,1,active,2022-12-16 02:15:17.582400,,
1359,16,9,1,4460,2,1,1,False,0,4460,1671135944,1,active,2022-12-16 02:15:17.582400,,
1360,17,9,1,4461,2,0,1,False,0,4461,1671118054,1,active,2022-12-16 02:15:17.582400,,
1361,9,4,1,4462,13,1,1,False,0,4462,1671116382,1,active,2022-12-16 02:15:17.582400,,
1362,17,4,1,4463,3,2,1,False,0,4463,1671153827,1,active,2022-12-16 02:15:17.582400,,
1363,13,4,1,4465,9,1,1,False,0,4465,1671156544,1,active,2022-12-16 02:15:17.582400,,
1364,0,0,1,4466,0,0,1,False,0,4466,86400,1,active,2022-12-16 02:15:17.582400,,
1365,11,1,1,4467,10,0,1,False,0,4467,1671143064,1,active,2022-12-16 02:15:17.582400,,
1366,16,1,1,4468,4,1,1,False,0,4468,1671135483,1,active,2022-12-16 02:15:17.582400,,
1367,0,0,1,4471,21,0,1,False,0,4471,1671138105,1,active,2022-12-16 02:15:17.582400,,
1368,0,0,1,4472,25,0,1,False,0,4472,1671128905,1,active,2022-12-16 02:15:17.582400,,
1369,10,8,1,4473,9,0,1,False,0,4473,1671140936,1,active,2022-12-16 02:15:17.582400,,
1370,27,15,1,4474,11,0,1,False,0,4474,1671139720,1,active,2022-12-16 02:15:17.582400,,
1371,8,4,1,4475,25,0,1,False,0,4475,1671156357,1,active,2022-12-16 02:15:17.582400,,
1372,24,0,1,4476,2,1,1,False,0,4476,1671154943,1,active,2022-12-16 02:15:17.582400,,
1373,22,2,1,4477,3,1,1,False,0,4477,1671149774,1,active,2022-12-16 02:15:17.582400,,
1374,33,1,1,4478,29,2,1,False,0,4478,1671153801,1,active,2022-12-16 02:15:17.582400,,
1375,8,2,1,4480,27,0,1,False,0,4480,1671154768,1,active,2022-12-16 02:15:17.582400,,
1376,12,0,1,4481,27,0,1,False,0,4481,1671155475,1,active,2022-12-16 02:15:17.582400,,
1377,29,2,1,4482,4,0,1,False,0,4482,1671156572,1,active,2022-12-16 02:15:17.582400,,
1378,3,1,1,4483,34,0,1,False,0,4483,1671155947,1,active,2022-12-16 02:15:17.582400,,
1379,3,0,1,4484,27,0,1,False,0,4484,1671144626,1,active,2022-12-16 02:15:17.582400,,
1380,3,3,1,4485,29,0,1,False,0,4485,1671153786,1,active,2022-12-16 02:15:17.582400,,
1381,1,1,1,4486,29,0,1,False,0,4486,1671156754,1,active,2022-12-16 02:15:17.582400,,
1382,2,0,1,4487,18,0,1,False,0,4487,1671119087,1,active,2022-12-16 02:15:17.582400,,
1383,11,0,1,4488,12,1,1,False,0,4488,1671140647,1,active,2022-12-16 02:15:17.582400,,
1384,0,0,1,4489,23,1,1,False,0,4489,1671144254,1,active,2022-12-16 02:15:17.582400,,
1385,4,2,1,4490,17,0,1,False,0,4490,1671150765,1,active,2022-12-16 02:15:17.582400,,
1386,18,1,1,4492,2,0,1,False,0,4492,1671155009,1,active,2022-12-16 02:15:17.582400,,
1387,4,1,1,4493,15,0,1,False,0,4493,1671111983,1,active,2022-12-16 02:15:17.582400,,
1388,1,0,1,4494,18,0,1,False,0,4494,1671094787,1,active,2022-12-16 02:15:17.582400,,
1389,1,1,1,4495,19,0,1,False,0,4495,1671154954,1,active,2022-12-16 02:15:17.582400,,
1390,24,0,1,4496,5,0,1,False,0,4496,1671152704,1,active,2022-12-16 02:15:17.582400,,
1391,3,0,1,4497,17,0,1,False,0,4497,1671115998,1,active,2022-12-16 02:15:17.582400,,
1392,4,2,1,4498,13,3,1,False,0,4498,1671152139,1,active,2022-12-16 02:15:17.582400,,
1393,0,0,1,4500,23,0,1,False,0,4500,1671148246,1,active,2022-12-16 02:15:17.582400,,
1394,5,2,1,4501,21,2,1,False,0,4501,1671152499,1,active,2022-12-16 02:15:17.582400,,
1395,24,10,1,4502,2,1,1,False,0,4502,1671129159,1,active,2022-12-16 02:15:17.582400,,
