,legacy_id,station_id,num_bikes_disabled,eightd_has_available_keys,last_reported,is_installed,is_returning,is_renting,num_ebikes_available,num_bikes_available,num_docks_disabled,num_docks_available,station_status,last_update
57,278,278,0,False,1670892481,1,1,1,0,7,0,12,active,2022-12-13 01:15:17.723177
58,281,281,1,False,1670893131,1,1,1,4,49,0,42,active,2022-12-13 01:15:17.723177
59,284,284,0,False,1670894492,1,1,1,1,46,0,5,active,2022-12-13 01:15:17.723177
60,285,285,1,False,1670894597,1,1,1,4,75,0,19,active,2022-12-13 01:15:17.723177
61,289,289,1,False,1670893732,1,1,1,3,7,0,11,active,2022-12-13 01:15:17.723177
62,291,291,3,False,1670893880,1,1,1,2,13,0,4,active,2022-12-13 01:15:17.723177
63,293,293,3,False,1670894514,1,1,1,4,75,0,13,active,2022-12-13 01:15:17.723177
64,294,294,3,False,1670894382,1,1,1,14,53,0,8,active,2022-12-13 01:15:17.723177
65,295,295,0,False,1670893844,1,1,1,1,28,0,6,active,2022-12-13 01:15:17.723177
66,297,297,4,False,1670894633,1,1,1,6,71,0,2,active,2022-12-13 01:15:17.723177
67,298,298,1,False,1670893938,1,1,1,0,20,0,14,active,2022-12-13 01:15:17.723177
68,301,301,4,False,1670894477,1,1,1,8,26,0,27,active,2022-12-13 01:15:17.723177
69,302,302,1,False,1670894191,1,1,1,4,15,0,39,active,2022-12-13 01:15:17.723177
70,303,303,4,False,1670894263,1,1,1,8,50,0,13,active,2022-12-13 01:15:17.723177
71,304,304,1,False,1670894285,1,1,1,0,15,0,31,active,2022-12-13 01:15:17.723177
72,305,305,0,False,86400,0,0,0,0,0,0,0,out_of_service,2022-12-13 01:15:17.723177
73,307,307,0,False,1670894413,1,1,1,5,19,0,10,active,2022-12-13 01:15:17.723177
74,308,308,1,False,1670894517,1,1,1,2,46,0,1,active,2022-12-13 01:15:17.723177
75,311,311,2,False,1670894596,1,1,1,9,53,0,3,active,2022-12-13 01:15:17.723177
76,312,312,5,False,1670893911,1,1,1,3,27,0,0,active,2022-12-13 01:15:17.723177
77,313,313,1,False,1670894246,1,1,1,1,39,0,15,active,2022-12-13 01:15:17.723177
78,315,315,0,False,1670888529,1,1,1,3,42,0,0,active,2022-12-13 01:15:17.723177
79,316,316,0,False,1670894550,1,1,1,1,40,0,3,active,2022-12-13 01:15:17.723177
80,317,317,0,False,1670894467,1,1,1,3,22,0,45,active,2022-12-13 01:15:17.723177
81,319,319,2,False,1670894615,1,1,1,2,27,0,4,active,2022-12-13 01:15:17.723177
82,320,320,0,False,1670894602,1,1,1,4,46,0,8,active,2022-12-13 01:15:17.723177
83,321,321,0,False,1670893532,1,1,1,0,28,0,10,active,2022-12-13 01:15:17.723177
84,323,323,6,False,1670894617,1,1,1,0,23,0,10,active,2022-12-13 01:15:17.723177
85,324,324,3,False,1670893065,1,1,1,9,62,0,9,active,2022-12-13 01:15:17.723177
86,325,325,0,False,1670894009,1,1,1,4,14,0,21,active,2022-12-13 01:15:17.723177
87,326,326,0,False,1670893744,1,1,1,1,29,0,32,active,2022-12-13 01:15:17.723177
88,327,327,2,False,1670892766,1,1,1,1,36,0,0,active,2022-12-13 01:15:17.723177
89,328,328,0,False,1670894544,1,1,1,2,33,0,2,active,2022-12-13 01:15:17.723177
90,330,330,2,False,1670894290,1,1,1,10,21,0,17,active,2022-12-13 01:15:17.723177
91,331,331,1,False,1670893786,1,1,1,2,24,0,2,active,2022-12-13 01:15:17.723177
92,332,332,1,False,1670893862,1,1,1,6,18,0,17,active,2022-12-13 01:15:17.723177
93,334,334,3,False,1670894183,1,1,1,3,34,0,6,active,2022-12-13 01:15:17.723177
94,335,335,1,False,1670894632,1,1,1,1,24,0,1,active,2022-12-13 01:15:17.723177
