,eightd_has_available_keys,last_reported,num_docks_available,num_ebikes_available,is_installed,num_bikes_disabled,station_status,legacy_id,is_returning,num_docks_disabled,is_renting,num_bikes_available,station_id,last_update
57,False,1672012222,8,1,1,1,active,278,1,0,1,7,278,2022-12-26 01:15:06.645988
58,False,1672013775,37,7,1,2,active,281,1,0,1,56,281,2022-12-26 01:15:06.645988
59,False,1672005117,8,11,1,0,active,284,1,0,1,42,284,2022-12-26 01:15:06.645988
60,False,1671903699,3,10,1,1,active,285,0,0,0,107,285,2022-12-26 01:15:06.645988
61,False,1672012527,12,1,1,1,active,289,1,0,1,5,289,2022-12-26 01:15:06.645988
62,False,1672015189,10,1,1,3,active,291,1,0,1,5,291,2022-12-26 01:15:06.645988
63,False,1672015743,5,8,1,4,active,293,1,0,1,81,293,2022-12-26 01:15:06.645988
64,False,1672011389,0,3,1,5,active,294,1,0,1,57,294,2022-12-26 01:15:06.645988
65,False,1672016220,11,1,1,1,active,295,1,0,1,22,295,2022-12-26 01:15:06.645988
66,False,1672014828,7,2,1,2,active,297,1,0,1,68,297,2022-12-26 01:15:06.645988
67,False,1671998528,3,5,1,2,active,298,1,0,1,29,298,2022-12-26 01:15:06.645988
68,False,1672015652,35,0,1,6,active,301,1,0,1,17,301,2022-12-26 01:15:06.645988
69,False,1672016681,38,5,1,3,active,302,1,0,1,14,302,2022-12-26 01:15:06.645988
70,False,1672015109,2,5,1,3,active,303,1,0,1,61,303,2022-12-26 01:15:06.645988
71,False,1672001863,0,8,1,1,active,304,1,0,1,47,304,2022-12-26 01:15:06.645988
72,False,86400,0,0,0,0,out_of_service,305,0,0,0,0,305,2022-12-26 01:15:06.645988
73,False,1672016675,6,12,1,4,active,307,1,1,1,20,307,2022-12-26 01:15:06.645988
74,False,1672011820,0,0,1,1,active,308,1,0,1,47,308,2022-12-26 01:15:06.645988
75,False,1672016894,18,3,1,6,active,311,1,0,1,35,311,2022-12-26 01:15:06.645988
76,False,1672017044,13,1,1,5,active,312,1,0,1,15,312,2022-12-26 01:15:06.645988
77,False,1672013164,12,1,1,1,active,313,1,0,1,42,313,2022-12-26 01:15:06.645988
78,False,1671949757,0,2,1,0,active,315,1,0,1,43,315,2022-12-26 01:15:06.645988
79,False,1672013372,7,4,1,3,active,316,1,0,1,33,316,2022-12-26 01:15:06.645988
80,False,1672011541,25,2,1,4,active,317,1,0,1,36,317,2022-12-26 01:15:06.645988
81,False,1672017074,2,5,1,3,active,319,1,0,1,27,319,2022-12-26 01:15:06.645988
82,False,1672014157,7,2,1,3,active,320,1,0,1,44,320,2022-12-26 01:15:06.645988
