,last_reported,num_ebikes_available,legacy_id,num_docks_available,eightd_has_available_keys,num_bikes_available,is_installed,station_id,num_docks_disabled,is_returning,is_renting,station_status,num_bikes_disabled,last_update,eightd_active_station_services,valet
467,1671575937,0,3333,0,False,37,1,3333,0,1,1,active,0,2022-12-21 01:00:54.934804,,
468,1671584871,0,3335,3,False,24,1,3335,0,1,1,active,1,2022-12-21 01:00:54.934804,,
469,1671584803,1,3336,38,False,1,1,3336,0,1,1,active,2,2022-12-21 01:00:54.934804,,
470,1671577804,0,3337,0,False,22,1,3337,0,1,1,active,1,2022-12-21 01:00:54.934804,,
471,1671582720,2,3338,21,False,8,1,3338,0,1,1,active,1,2022-12-21 01:00:54.934804,,
472,1671585134,4,3339,29,False,11,1,3339,0,1,1,active,1,2022-12-21 01:00:54.934804,,
473,1671578245,1,3340,1,False,19,1,3340,0,1,1,active,0,2022-12-21 01:00:54.934804,,
474,1671583575,2,3342,1,False,22,1,3342,0,1,1,active,0,2022-12-21 01:00:54.934804,,
475,1671584947,2,3343,19,False,2,1,3343,0,1,1,active,0,2022-12-21 01:00:54.934804,,
476,1671580719,0,3344,1,False,38,1,3344,0,1,1,active,0,2022-12-21 01:00:54.934804,,
477,1671578976,0,3345,34,False,0,1,3345,0,1,1,active,0,2022-12-21 01:00:54.934804,,
478,1671584320,0,3346,15,False,13,1,3346,0,1,1,active,1,2022-12-21 01:00:54.934804,,
479,1671584099,2,3347,5,False,29,1,3347,0,1,1,active,1,2022-12-21 01:00:54.934804,,
480,1671576209,0,3348,2,False,29,1,3348,0,1,1,active,1,2022-12-21 01:00:54.934804,,
481,1671581808,0,3349,38,False,0,1,3349,0,1,1,active,0,2022-12-21 01:00:54.934804,,
482,1671585119,3,3350,31,False,7,1,3350,0,1,1,active,0,2022-12-21 01:00:54.934804,,
483,1671585203,2,3351,15,False,8,1,3351,0,1,1,active,1,2022-12-21 01:00:54.934804,,
484,1671582543,3,3352,1,False,18,1,3352,0,1,1,active,2,2022-12-21 01:00:54.934804,,
485,1671583144,1,3354,25,False,4,1,3354,0,1,1,active,0,2022-12-21 01:00:54.934804,,
486,1671584465,7,3355,9,False,15,1,3355,0,1,1,active,1,2022-12-21 01:00:54.934804,,
487,1671585093,1,3356,13,False,5,1,3356,0,1,1,active,0,2022-12-21 01:00:54.934804,,
488,1671583742,6,3357,25,False,9,1,3357,0,1,1,active,0,2022-12-21 01:00:54.934804,,
489,1671584596,1,3358,14,False,10,1,3358,0,1,1,active,0,2022-12-21 01:00:54.934804,,
490,1671584407,5,3359,47,False,11,1,3359,0,1,1,active,0,2022-12-21 01:00:54.934804,,
491,1671584678,12,3360,22,False,22,1,3360,0,1,1,active,0,2022-12-21 01:00:54.934804,,
492,1671584528,2,3361,12,False,10,1,3361,0,1,1,active,1,2022-12-21 01:00:54.934804,,
493,1671580175,1,3362,32,False,1,1,3362,0,1,1,active,0,2022-12-21 01:00:54.934804,,
494,1671583406,1,3363,29,False,3,1,3363,0,1,1,active,0,2022-12-21 01:00:54.934804,,
495,1671583935,1,3364,12,False,14,1,3364,0,1,1,active,0,2022-12-21 01:00:54.934804,,
496,1671584877,3,3365,21,False,4,1,3365,0,1,1,active,0,2022-12-21 01:00:54.934804,,
497,1671584308,2,3366,26,False,4,1,3366,0,1,1,active,1,2022-12-21 01:00:54.934804,,
498,1671585169,1,3367,33,False,5,1,3367,0,1,1,active,0,2022-12-21 01:00:54.934804,,
499,1671584694,3,3368,18,False,11,1,3368,0,1,1,active,0,2022-12-21 01:00:54.934804,,
500,1671585092,6,3369,15,False,11,1,3369,0,1,1,active,1,2022-12-21 01:00:54.934804,,
501,1671585009,1,3370,21,False,1,1,3370,0,1,1,active,1,2022-12-21 01:00:54.934804,,
502,1671585077,11,3372,32,False,42,1,3372,0,1,1,active,2,2022-12-21 01:00:54.934804,,
503,1671584000,0,3373,40,False,35,1,3373,0,1,1,active,4,2022-12-21 01:00:54.934804,,
504,1671585072,5,3374,12,False,21,1,3374,0,1,1,active,0,2022-12-21 01:00:54.934804,,
505,1671584955,2,3375,27,False,5,1,3375,0,1,1,active,2,2022-12-21 01:00:54.934804,,
506,1671584580,3,3376,13,False,19,1,3376,14,1,1,active,2,2022-12-21 01:00:54.934804,,
507,1671584085,3,3377,8,False,16,1,3377,0,1,1,active,1,2022-12-21 01:00:54.934804,,
508,86400,0,3378,0,False,0,0,3378,0,0,0,out_of_service,0,2022-12-21 01:00:54.934804,,
509,1671584160,1,3379,16,False,19,1,3379,0,1,1,active,0,2022-12-21 01:00:54.934804,,
510,1671581560,2,3381,28,False,24,1,3381,0,1,1,active,1,2022-12-21 01:00:54.934804,,
511,1671584678,8,3382,22,False,18,1,3382,0,1,1,active,1,2022-12-21 01:00:54.934804,,
512,1671585182,2,3383,19,False,2,1,3383,0,1,1,active,2,2022-12-21 01:00:54.934804,,
513,1671583209,3,3384,20,False,4,1,3384,0,1,1,active,0,2022-12-21 01:00:54.934804,,
514,1671582885,1,3386,32,False,1,1,3386,0,1,1,active,1,2022-12-21 01:00:54.934804,,
515,1671584141,1,3387,7,False,17,1,3387,0,1,1,active,1,2022-12-21 01:00:54.934804,,
516,1671584867,2,3388,20,False,5,1,3388,0,1,1,active,0,2022-12-21 01:00:54.934804,,
517,1671583073,3,3389,6,False,30,1,3389,0,1,1,active,1,2022-12-21 01:00:54.934804,,
518,1671585168,0,3391,20,False,5,1,3391,0,1,1,active,0,2022-12-21 01:00:54.934804,,
519,1671576925,0,3392,7,False,11,1,3392,0,1,1,active,1,2022-12-21 01:00:54.934804,,
520,1671581227,1,3393,0,False,19,1,3393,0,1,1,active,0,2022-12-21 01:00:54.934804,,
521,1671582105,2,3394,0,False,21,1,3394,0,1,1,active,0,2022-12-21 01:00:54.934804,,
522,1671581332,0,3395,8,False,11,1,3395,0,1,1,active,0,2022-12-21 01:00:54.934804,,
523,1671582459,3,3396,20,False,4,1,3396,0,1,1,active,1,2022-12-21 01:00:54.934804,,
524,1671583856,1,3397,10,False,19,1,3397,0,1,1,active,3,2022-12-21 01:00:54.934804,,
525,1671582774,1,3398,14,False,9,1,3398,0,1,1,active,0,2022-12-21 01:00:54.934804,,
526,1671585161,2,3399,6,False,16,1,3399,0,1,1,active,2,2022-12-21 01:00:54.934804,,
527,1671583774,1,3402,8,False,23,1,3402,0,1,1,active,1,2022-12-21 01:00:54.934804,,
528,1671585155,0,3403,14,False,15,1,3403,1,1,1,active,1,2022-12-21 01:00:54.934804,,
529,1671584399,1,3404,17,False,9,1,3404,0,1,1,active,0,2022-12-21 01:00:54.934804,,
530,1671580705,1,3405,18,False,5,1,3405,0,1,1,active,0,2022-12-21 01:00:54.934804,,
531,1671582856,4,3407,0,False,34,1,3407,0,1,1,active,0,2022-12-21 01:00:54.934804,,
532,1671584263,1,3409,11,False,33,1,3409,0,1,1,active,2,2022-12-21 01:00:54.934804,,
533,1671584645,1,3410,16,False,61,1,3410,0,1,1,active,0,2022-12-21 01:00:54.934804,,
534,1671584476,2,3411,3,False,23,1,3411,0,1,1,active,0,2022-12-21 01:00:54.934804,,
535,1671583366,1,3412,6,False,11,1,3412,0,1,1,active,0,2022-12-21 01:00:54.934804,,
