,is_renting,num_bikes_available,is_installed,num_bikes_disabled,is_returning,last_reported,station_id,num_docks_available,legacy_id,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,last_update
723,1,1,1,0,1,1671843738,3699,28,3699,active,0,False,0,2022-12-24 01:00:30.434515
724,1,17,1,1,1,1671844053,3704,0,3704,active,0,False,4,2022-12-24 01:00:30.434515
725,1,33,1,1,1,1671843879,3705,6,3705,active,0,False,3,2022-12-24 01:00:30.434515
726,1,12,1,2,1,1671843948,3707,64,3707,active,0,False,1,2022-12-24 01:00:30.434515
727,1,38,1,0,1,1671841992,3708,2,3708,active,0,False,0,2022-12-24 01:00:30.434515
728,1,66,1,3,1,1671841618,3709,5,3709,active,0,False,7,2022-12-24 01:00:30.434515
729,1,20,1,2,1,1671842953,3711,39,3711,active,0,False,2,2022-12-24 01:00:30.434515
730,1,5,1,1,1,1671843895,3712,35,3712,active,0,False,2,2022-12-24 01:00:30.434515
731,1,8,1,2,1,1671840951,3714,50,3714,active,0,False,1,2022-12-24 01:00:30.434515
732,1,30,1,0,1,1671838991,3715,0,3715,active,0,False,3,2022-12-24 01:00:30.434515
733,1,5,1,0,1,1671843911,3716,16,3716,active,1,False,0,2022-12-24 01:00:30.434515
734,1,9,1,1,1,1671843617,3718,55,3718,active,0,False,0,2022-12-24 01:00:30.434515
735,1,15,1,1,1,1671843821,3721,20,3721,active,0,False,5,2022-12-24 01:00:30.434515
736,1,34,1,0,1,1671844161,3724,46,3724,active,0,False,21,2022-12-24 01:00:30.434515
737,1,17,1,4,1,1671843618,3725,33,3725,active,0,False,1,2022-12-24 01:00:30.434515
738,1,18,1,1,1,1671843953,3726,3,3726,active,0,False,2,2022-12-24 01:00:30.434515
739,1,36,1,1,1,1671841846,3727,1,3727,active,0,False,3,2022-12-24 01:00:30.434515
740,1,2,1,0,1,1671840539,3728,20,3728,active,0,False,1,2022-12-24 01:00:30.434515
741,1,24,1,1,1,1671844166,3731,41,3731,active,0,False,7,2022-12-24 01:00:30.434515
742,0,0,0,0,0,86400,3733,0,3733,out_of_service,0,False,0,2022-12-24 01:00:30.434515
743,1,27,1,0,1,1671841667,3734,22,3734,active,0,False,0,2022-12-24 01:00:30.434515
744,1,52,1,0,1,1671841816,3735,3,3735,active,0,False,0,2022-12-24 01:00:30.434515
745,1,5,1,0,1,1671844148,3736,36,3736,active,0,False,1,2022-12-24 01:00:30.434515
746,1,4,1,3,1,1671843868,3737,16,3737,active,0,False,1,2022-12-24 01:00:30.434515
747,1,25,1,3,1,1671831297,3738,1,3738,active,0,False,1,2022-12-24 01:00:30.434515
748,1,52,1,0,1,1671842876,3739,1,3739,active,0,False,5,2022-12-24 01:00:30.434515
749,1,32,1,12,1,1671843695,3740,2,3740,active,1,False,3,2022-12-24 01:00:30.434515
750,1,4,1,1,1,1671839503,3745,22,3745,active,0,False,1,2022-12-24 01:00:30.434515
751,1,42,1,4,1,1671839571,3746,1,3746,active,0,False,7,2022-12-24 01:00:30.434515
752,1,2,1,4,1,1671844114,3749,15,3749,active,0,False,1,2022-12-24 01:00:30.434515
753,1,3,1,2,1,1671836221,3755,13,3755,active,0,False,2,2022-12-24 01:00:30.434515
754,1,19,1,0,1,1671834246,3756,2,3756,active,0,False,2,2022-12-24 01:00:30.434515
755,1,15,1,0,1,1671835361,3757,8,3757,active,0,False,4,2022-12-24 01:00:30.434515
756,1,16,1,1,1,1671843250,3758,1,3758,active,0,False,2,2022-12-24 01:00:30.434515
757,1,19,1,0,1,1671833963,3759,0,3759,active,0,False,1,2022-12-24 01:00:30.434515
758,1,22,1,0,1,1671831420,3760,0,3760,active,0,False,0,2022-12-24 01:00:30.434515
759,1,1,1,0,1,1671830797,3761,26,3761,active,0,False,0,2022-12-24 01:00:30.434515
760,1,26,1,1,1,1671831147,3762,0,3762,active,0,False,1,2022-12-24 01:00:30.434515
761,1,23,1,2,1,1671839926,3763,0,3763,active,0,False,0,2022-12-24 01:00:30.434515
762,1,18,1,0,1,1671842891,3764,3,3764,active,0,False,0,2022-12-24 01:00:30.434515
763,1,19,1,0,1,1671821914,3765,2,3765,active,0,False,1,2022-12-24 01:00:30.434515
764,1,1,1,0,1,1671835557,3767,17,3767,active,0,False,0,2022-12-24 01:00:30.434515
765,1,16,1,0,1,1671842394,3768,4,3768,active,0,False,1,2022-12-24 01:00:30.434515
766,1,22,1,0,1,1671808758,3769,0,3769,active,0,False,2,2022-12-24 01:00:30.434515
767,1,19,1,0,1,1671835468,3770,1,3770,active,0,False,1,2022-12-24 01:00:30.434515
768,1,29,1,0,1,1671839774,3771,1,3771,active,0,False,1,2022-12-24 01:00:30.434515
769,1,14,1,0,1,1671833089,3772,4,3772,active,0,False,2,2022-12-24 01:00:30.434515
770,1,16,1,0,1,1671833954,3773,2,3773,active,0,False,1,2022-12-24 01:00:30.434515
